,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Litter,0.6112840516236301,0.5948639962691485,0.5948639962691485,0.5948639962691485,0.5940876648722082,0.5925365228058437,0.590213611525087,0.5802003811956974,0.5687531048186786,0.5551669251903444,0.5328882670803046,0.4939363524843619,0.44295852469154573,0.40174604864300417,0.3293895799750601,0.23309736711376056,0.14524189705688534,0.06696168780477914,0.012717337307501242,0.00032847714346543385,0.2659265539300668
mAP,0.6112840516236301,0.5948639962691485,0.5948639962691485,0.5948639962691485,0.5940876648722082,0.5925365228058437,0.590213611525087,0.5802003811956974,0.5687531048186786,0.5551669251903444,0.5328882670803046,0.4939363524843619,0.44295852469154573,0.40174604864300417,0.3293895799750601,0.23309736711376056,0.14524189705688534,0.06696168780477914,0.012717337307501242,0.00032847714346543385,0.2659265539300668
