,epoch,time_elapsed,total_time_elapsed
0,1,599.0547151565552,599.0547151565552
1,2,599.3405208587646,1198.3952360153198
2,3,597.9449717998505,1796.3402078151703
3,4,599.0779273509979,2395.418135166168
4,5,598.2436587810516,2993.66179394722
5,6,598.0243339538574,3591.6861279010773
6,7,598.0573883056641,4189.743516206741
7,8,597.6120719909668,4787.355588197708
8,9,598.0026652812958,5385.358253479004
9,10,598.1239173412323,5983.482170820236
10,11,599.2804653644562,6582.762636184692
11,12,657.6998789310455,7240.462515115738
12,13,795.011257648468,8035.473772764206
13,14,816.2227425575256,8851.696515321732
14,15,810.0900237560272,9661.786539077759
15,16,806.9169292449951,10468.703468322754
16,17,806.1086721420288,11274.812140464783
17,18,807.0933225154877,12081.90546298027
18,19,806.8736624717712,12888.779125452042
19,20,808.8200426101685,13697.59916806221
