,epoch,train_loss,val_loss,loss_classifier_train,loss_box_reg_train,loss_objectness_train,loss_rpn_box_reg_train,loss_classifier_val,loss_box_reg_val,loss_objectness_val,loss_rpn_box_reg_val
0,1,0.04802419228913824,0.0541843003108724,0.013511476585355352,0.025407411271123257,0.002908466524026264,0.006196838025098675,5.678948920007088e-07,5.678948920007088e-07,5.678948920007088e-07,5.678948920007088e-07
1,2,0.024228230125449852,0.04311923403514584,0.006786627018322567,0.012127111591878596,0.0006693371783028449,0.004645154317831353,1.2898453519483155e-05,1.2898453519483155e-05,1.2898453519483155e-05,1.2898453519483155e-05
2,3,0.020328649128452024,0.036595061561001785,0.005441451535098028,0.010371629328498944,0.0004672783043703847,0.0040482899606722085,9.922850608745648e-06,9.922850608745648e-06,9.922850608745648e-06,9.922850608745648e-06
3,4,0.01757217260318619,0.035713202006036227,0.004816847679132535,0.009146193662486821,0.00037375106213899747,0.003235380174928581,1.201196118927328e-05,1.201196118927328e-05,1.201196118927328e-05,1.201196118927328e-05
4,5,0.018246883263560155,0.03684427313671771,0.004987030524535544,0.009291559499768426,0.00038466725088675803,0.003583625941260862,4.5274753688318015e-06,4.5274753688318015e-06,4.5274753688318015e-06,4.5274753688318015e-06
5,6,0.016116581384947926,0.03422887831785223,0.004407288756856412,0.007906765182758504,0.0003113421321064424,0.0034911852771095163,1.0092983387721688e-05,1.0092983387721688e-05,1.0092983387721688e-05,1.0092983387721688e-05
6,7,0.0159428333093451,0.03164241254685388,0.004421196995900843,0.00801554149505949,0.00037312247191884264,0.003132972363822815,6.060064947632782e-07,6.060064947632782e-07,6.060064947632782e-07,6.060064947632782e-07
7,8,0.014840801961726642,0.03564619293196358,0.003910841784297975,0.007284211588069043,0.0003108735347468341,0.0033348751038496257,5.101564042320206e-07,5.101564042320206e-07,5.101564042320206e-07,5.101564042320206e-07
8,9,0.013397134152247931,0.027994358229823508,0.0037828891838831234,0.006542229737383527,0.0002663142053730991,0.0028057010433049975,1.1548871725608478e-06,1.1548871725608478e-06,1.1548871725608478e-06,1.1548871725608478e-06
9,10,0.01358400024004518,0.03159894955525052,0.0037066731284207824,0.006513063085853311,0.0006225578835907186,0.002741706107255373,2.2238819713527036e-07,2.2238819713527036e-07,2.2238819713527036e-07,2.2238819713527036e-07
10,11,0.013025937683116565,0.027162484586438513,0.0035770793220317194,0.006344883465599127,0.00028043016736834756,0.002823544710819974,6.660753939513597e-07,6.660753939513597e-07,6.660753939513597e-07,6.660753939513597e-07
11,12,0.013127219946396398,0.026619090080457635,0.0037010739509827514,0.0065027380843810335,0.0003297796704549205,0.002593628212821907,6.372693803768925e-07,6.372693803768925e-07,6.372693803768925e-07,6.372693803768925e-07
12,13,0.011836286290444503,0.02953696071824356,0.003273302612659993,0.005693395181162681,0.0002376223802162541,0.00263196615411872,1.9782346249996863e-07,1.9782346249996863e-07,1.9782346249996863e-07,1.9782346249996863e-07
13,14,0.01105371527492103,0.030713714075227234,0.0031566360527090147,0.005269032498761187,0.00023543159217876932,0.0023926151163451525,2.6456676227581966e-07,2.6456676227581966e-07,2.6456676227581966e-07,2.6456676227581966e-07
14,15,0.0113731636511905,0.026760713770178857,0.0032668630572745883,0.005731776223663695,0.00022061710162766648,0.0021539072191211995,5.684549986284537e-08,5.684549986284537e-08,5.684549986284537e-08,5.684549986284537e-08
15,16,0.0102277239877208,0.027847171490843998,0.0030458786057664124,0.004921493659556651,0.00020482148895574807,0.002055530258018061,6.874278213331309e-08,6.874278213331309e-08,6.874278213331309e-08,6.874278213331309e-08
16,17,0.010835908505518552,0.023866022397408315,0.0032250015846518967,0.004962855377963225,0.0002151623246181209,0.002432889208009974,1.6515662082383642e-07,1.6515662082383642e-07,1.6515662082383642e-07,1.6515662082383642e-07
17,18,0.010355209069523455,0.029020837101014035,0.0029898122266807793,0.005232144615818206,0.000190608042857023,0.0019426441720483793,1.0455165089240381e-07,1.0455165089240381e-07,1.0455165089240381e-07,1.0455165089240381e-07
18,19,0.01057771065408199,0.022736315691319103,0.002950891142032428,0.004787357575513373,0.00028036766517488095,0.0025590942719479056,6.715990608086031e-08,6.715990608086031e-08,6.715990608086031e-08,6.715990608086031e-08
19,20,0.00973084519739405,0.023823039725044664,0.0028044230780796715,0.004728837462985454,0.00020328262711805364,0.001994302066356677,4.365570438480404e-08,4.365570438480404e-08,4.365570438480404e-08,4.365570438480404e-08
