,epoch,train_loss,val_loss,classification_train,bbox_regression_train,bbox_ctrness_train,classification_val,bbox_regression_val,bbox_ctrness_val
0,1,0.9718827907043167,0.7673304279645284,0.31580528739509706,0.06505302137023286,0.5910244900969011,0.21267316304147243,0.21267316304147243,0.21267316304147243
1,2,0.7528380842148503,0.7294036000967026,0.11321308086567287,0.05014598138536079,0.5894790246516843,0.21433871487776437,0.21433871487776437,0.21433871487776437
2,3,0.7115562007397036,0.7353700747092565,0.07857714112423643,0.04385811491291734,0.5891209448440166,0.19368944689631462,0.19368944689631462,0.19368944689631462
3,4,0.7085093229631835,0.7305948833624522,0.07568004885334757,0.04367817947758904,0.5891510949859137,0.20126987745364508,0.20126987745364508,0.20126987745364508
4,5,0.6948282462132128,0.7053597023089727,0.06545755809432344,0.04040407634611371,0.588966611065442,0.19509793352335691,0.19509793352335691,0.19509793352335691
5,6,0.6929547092582606,0.7304841428995132,0.06013518931414885,0.04371211715514147,0.5891074040268041,0.21177615970373154,0.21177615970373154,0.21177615970373154
6,7,0.6875207680690137,0.7231244097153345,0.055512829165009756,0.043059685774430444,0.5889482528348512,0.19039348512887955,0.19039348512887955,0.19039348512887955
7,8,0.6816233328626126,0.7392831146717072,0.05112174647282573,0.04159561042449897,0.5889059750339652,0.1935091611618797,0.1935091611618797,0.1935091611618797
8,9,0.6747133837470526,0.7569202979405721,0.04524189220812125,0.04056295217309572,0.5889085410516474,0.19076244734848538,0.19076244734848538,0.19076244734848538
9,10,0.6875079998487159,0.7208922803401947,0.05498793600952324,0.04335268792000752,0.5891673745988291,0.18943823664449155,0.18943823664449155,0.18943823664449155
10,11,0.67068481898006,0.6978683074315389,0.04414805890167061,0.037646387314683276,0.5888903714433501,0.1891414821924021,0.1891414821924021,0.1891414821924021
11,12,0.6603767230540891,0.7382882883151373,0.03456913721983474,0.03707940199801439,0.5887281841869596,0.18442729546222836,0.18442729546222836,0.18442729546222836
12,13,0.6556174453300766,0.7165076037247976,0.03380550540500332,0.03327422909721543,0.5885377141493785,0.18823786343758306,0.18823786343758306,0.18823786343758306
13,14,0.6584909475302394,0.7207116534312566,0.0366320183229503,0.03335756471357013,0.5885013628609573,0.18666186928749084,0.18666186928749084,0.18666186928749084
14,15,0.6516919075688229,0.7363146642843882,0.031852481910322285,0.0314011979565213,0.5884382264523567,0.19215742560724416,0.19215742560724416,0.19215742560724416
15,16,0.6418659302252757,0.727303812901179,0.02451678977754627,0.029047415132009532,0.588301727288886,0.18858577656404427,0.18858577656404427,0.18858577656404427
16,17,0.6344924237154708,0.7443099915981293,0.01347977190007326,0.0325652658232028,0.5884473874599119,0.18906427269879109,0.18906427269879109,0.18906427269879109
17,18,0.6318453837044632,0.7775966872771581,0.01283939008430071,0.030708439459529103,0.5882975511913058,0.1939691317578157,0.1939691317578157,0.1939691317578157
18,19,0.6377021602437466,0.7370809813340505,0.016902783274786146,0.03239810334730752,0.588401276099531,0.19027600662472346,0.19027600662472346,0.19027600662472346
