,epoch,time_elapsed,total_time_elapsed
0,1,115.11228942871094,115.11228942871094
1,2,96.9072961807251,212.01958560943604
2,3,109.39221143722534,321.4117970466614
3,4,111.66932439804077,433.08112144470215
4,5,111.90559411048889,544.986715555191
5,6,111.79411721229553,656.7808327674866
6,7,112.22824573516846,769.009078502655
7,8,111.6856644153595,880.6947429180145
8,9,112.4401683807373,993.1349112987518
9,10,110.41428351402283,1103.5491948127747
10,11,111.09553503990173,1214.6447298526764
11,12,105.49739837646484,1320.1421282291412
12,13,111.59687304496765,1431.739001274109
13,14,107.58494877815247,1539.3239500522614
14,15,92.15155744552612,1631.4755074977875
