,epoch,train_loss,val_loss,classification_train,bbox_regression_train,bbox_ctrness_train,classification_val,bbox_regression_val,bbox_ctrness_val
0,1,1.0668695982650063,0.9393020826522435,0.33572329909793125,0.12348512953982871,0.6076611701016114,0.3291097382704417,0.3291097382704417,0.3291097382704417
1,2,0.9070139801669344,0.8771375208814568,0.2075638371284738,0.09600246101008536,0.6034476809273256,0.3245357076327006,0.3245357076327006,0.3245357076327006
2,3,0.859636512802583,0.853709640346955,0.17096154142832645,0.08658537206622972,0.6020895994712259,0.3180061827103297,0.3180061827103297,0.3180061827103297
3,4,0.8277911814016716,0.8385918324238786,0.1469814215490821,0.07977489048667322,0.6010348693093407,0.31589821974436444,0.31589821974436444,0.31589821974436444
4,5,0.8030691239460607,0.8262677423864881,0.12805022637438135,0.0747946994357403,0.600224198999806,0.30979838222265244,0.30979838222265244,0.30979838222265244
5,6,0.784752798066518,0.8275547573499591,0.11443718343485738,0.07072286137214331,0.599592754008057,0.31510654588540393,0.31510654588540393,0.31510654588540393
6,7,0.7706246958157726,0.8390817190999182,0.10499537997295923,0.06668886012249739,0.5989404562338491,0.3229190508524577,0.3229190508524577,0.3229190508524577
7,8,0.7554564553304254,0.8190304358428884,0.09353504364735613,0.0634836098723218,0.5984378029531408,0.32124455521504086,0.32124455521504086,0.32124455521504086
8,9,0.7378793522437043,0.8416772952703672,0.07975635461500524,0.06018572221031395,0.5979372750375872,0.3228171269098918,0.3228171269098918,0.3228171269098918
9,10,0.7323667042862589,0.81751243310554,0.07712791206872213,0.057686314461143494,0.5975524769208141,0.323825366795063,0.323825366795063,0.323825366795063
10,11,0.7214597320166704,0.8151508101793093,0.06936520936672584,0.05493729560044115,0.5971572267535691,0.3105919634302457,0.3105919634302457,0.3105919634302457
11,12,0.7147536123885172,0.8215234485742088,0.06497380863896911,0.05291765757235829,0.5968621465786595,0.3262409269809723,0.3262409269809723,0.3262409269809723
12,13,0.7011167769120118,0.8160101554104101,0.054006789039568015,0.05056249978081715,0.5965474880187311,0.3286792313059171,0.3286792313059171,0.3286792313059171
13,14,0.698468456410359,0.8248296753268376,0.05341648626158658,0.04878446884958126,0.5962675011882158,0.324476217230161,0.324476217230161,0.324476217230161
14,15,0.6851846458059605,0.8298410845694141,0.04235643642480163,0.04678775816633601,0.5960404503846837,0.3403310254216194,0.3403310254216194,0.3403310254216194
15,16,0.6868834239300167,0.8383971876073106,0.045350069865566965,0.04566751292332241,0.5958658412934463,0.330823356906573,0.330823356906573,0.330823356906573
