,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Litter,0.008805345656653968,0.008805345656653968,0.008805345656653968,0.008805345656653968,0.008805345656653968,0.008680890039254454,0.008557320226960985,0.008434636219773561,0.008191925620716856,0.008071899028847572,0.007600650712430902,0.007370341384858844,0.006920352390987287,0.006062893048334399,0.00545700235579868,0.00416727012139516,0.002694619132593066,0.0008574593426528889,0.00012799883782370087,1.7716102120927455e-06,0.004126035893708703
mAP,0.008805345656653968,0.008805345656653968,0.008805345656653968,0.008805345656653968,0.008805345656653968,0.008680890039254454,0.008557320226960985,0.008434636219773561,0.008191925620716856,0.008071899028847572,0.007600650712430902,0.007370341384858844,0.006920352390987287,0.006062893048334399,0.00545700235579868,0.00416727012139516,0.002694619132593066,0.0008574593426528889,0.00012799883782370087,1.7716102120927455e-06,0.004126035893708703
