,epoch,time_elapsed,total_time_elapsed
0,1,100.57467436790466,100.57467436790466
1,2,101.65460515022278,202.22927951812744
2,3,100.54995203018188,302.7792315483093
3,4,100.15422654151917,402.9334580898285
4,5,95.52522087097168,498.45867896080017
5,6,94.8696517944336,593.3283307552338
6,7,98.90600514411926,692.234335899353
7,8,113.3780689239502,805.6124048233032
8,9,94.72876238822937,900.3411672115326
9,10,94.93258309364319,995.2737503051758
10,11,86.55957627296448,1081.8333265781403
11,12,89.18550252914429,1171.0188291072845
