,epoch,train_loss,val_loss,bbox_regression_train,classification_train,bbox_regression_val,classification_val
0,1,6.415800561613709,7.233328759670258,1.9447764953129165,4.471024052059377,0.0,0.0
1,2,4.813051243410766,6.2937532265981035,1.2251667575526783,3.5878844810806156,0.0,0.0
2,3,4.2022832146127715,6.042001063625018,0.9530693175910994,3.2492138971809212,0.0,0.0
3,4,3.7678351169324102,6.042163665095965,0.8043472836149558,2.9634878331468304,0.0,0.0
4,5,3.3813817848686045,5.72126380354166,0.6937667035078274,2.687615087378116,0.0,0.0
5,6,3.080208899774624,5.663250220318635,0.6116932446208164,2.4685156517356406,0.0,0.0
6,7,2.7890392609224977,5.492371367911498,0.5660204792523202,2.2230187799184375,0.0,0.0
7,8,2.457831660936807,5.558239549398422,0.4939952054949662,1.963836455481653,0.0,0.0
8,9,2.1285385868931543,5.886526728669803,0.43486140943096796,1.6936771761370069,0.0,0.0
9,10,1.9515955065042918,5.897575216988723,0.42287585449810244,1.5287196489235828,0.0,0.0
10,11,1.7162856833852884,5.721495233476162,0.397053175590193,1.3192325095866473,0.0,0.0
11,12,1.5036090198363967,5.926454012592633,0.36393537268980997,1.1396736471252586,0.0,0.0
12,13,1.3515688043969278,6.091872714459896,0.3443456088000809,1.0072231929834563,0.0,0.0
13,14,1.1274856478430844,6.071012740333875,0.3055199143085771,0.8219657307248989,0.0,0.0
14,15,1.010695552279931,6.344879366457462,0.29717384319724016,0.713521711232553,0.0,0.0
