,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Clear Plastic Bottle,0.004839742723698182,0.003867150635935219,0.0038117083334584284,0.0037841372967574263,0.0037292954524302045,0.003620812680074897,0.0035139311294517714,0.0033307413556543644,0.003228263164794738,0.0030281104482720316,0.00278692642486217,0.0023780144250062796,0.0019616967746390493,0.0015324192358769743,0.0010089698439909652,0.0006054619674811881,0.00028902052265878867,8.006108660908273e-05,4.053092509584813e-06,2.0015271652270685e-07,0.0010646823526350606
Drink Can,0.0050875579731898355,0.004399805822590047,0.004204593366272591,0.004095032126607505,0.003986917239941296,0.0038011964751789836,0.0035943679963392804,0.003343968133408346,0.0030436803916488882,0.002724126775959051,0.00243276574411455,0.0020314027869256152,0.001472579446616529,0.0010999514556475117,0.0007521487579483171,0.0004610702169239097,0.0001939129985450254,7.784317038498223e-05,9.50299118794746e-06,1.0169669523368268e-07,0.0008531279264989622
Drink Carton,0.018239372927343987,0.018239372927343987,0.018239372927343987,0.01661893277057582,0.01661893277057582,0.01661893277057582,0.01661893277057582,0.01507386192342478,0.013604160385890865,0.013604160385890865,0.013604160385890865,0.012209828157974074,0.010890865239674403,0.00636870666264697,0.0030524570394935184,0.0018465480856195355,0.00033916189327705756,0.00033916189327705756,0.0,0.0,0.004865088935785349
Glass Bottle,0.00111239831245056,0.0007656474310770822,0.0005054469369219801,0.0003618880435950272,0.0002658769299881832,0.000212469603601668,0.00016504389777044249,0.00011285731027276189,7.055870777464184e-05,5.133207027549635e-05,3.8148090276082306e-05,2.4414777776692678e-05,1.5625457777083314e-05,1.1963241110579409e-05,6.103694444173169e-06,2.197329999902341e-06,9.76591111067707e-07,6.10369444417317e-08,0.0,0.0,9.949021944002265e-06
Glass Jar,0.0006825535532934981,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,9.447108004062258e-06,2.3617770010155645e-06,0.0,0.0,6.849153302945138e-06
Other Plastic Bottle,0.11403508771929824,0.10826210826210825,0.10263907632328684,0.10263907632328684,0.09184285500074973,0.09184285500074973,0.09184285500074973,0.09184285500074973,0.09184285500074973,0.08666966561703403,0.08666966561703403,0.08666966561703403,0.0816464237516869,0.06747638326585695,0.054655870445344125,0.043184885290148446,0.012670565302144249,0.006072874493927126,0.0006747638326585695,0.0006747638326585695,0.0440395861448493
mAP,0.023999452201545715,0.022590588697843108,0.021568274165881317,0.021251418944804448,0.019408887416948215,0.019350952273030863,0.019290762983815185,0.01895228847191901,0.01863316079314382,0.01768114040090592,0.01759018556169696,0.017220462145453457,0.015999439629733006,0.012749811828190507,0.009914166148204194,0.007684934999696174,0.0022505140692900415,0.0010953939096906176,0.00011471998605935029,0.00011251094701172097,0.008473213922502602
