,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,Clear Plastic Bottle,11.757878305519668,11.662384768471863,10.925719496070075,9.98743263915441,8.696590586384012,8.509256515381928,7.5480341603428105,6.833175611676733,3.6546263485057677,3.781995350417708
2,Drink Can,5.05098491912503,4.944321903176514,4.974649095368103,5.161885807392324,5.216266834820016,5.171318453310539,5.455292380448157,4.718729144885544,4.321010041687548,1.4267533362981297
3,Drink Carton,7.615551013127786,7.457046150073422,5.281922455217886,5.071132416737734,5.402801237309853,4.3493050839056115,1.9159102517362716,2.38480655400806,1.0689953353025552,
4,Glass Bottle,19.123719672071168,18.58572065333187,16.35101927983941,14.353473885867844,12.329877968988523,11.22538934622515,12.098872745414708,6.863636078116882,,
5,Glass Jar,7.930453760841236,7.334642676110038,5.442399695977582,5.247213116768164,4.518911580668704,4.447540681433103,4.447540681433103,3.3694428362270594,,
6,Other Plastic Bottle,7.868780363595646,5.663854640099729,5.265762214648956,5.258401748728434,5.035662456119954,4.4795700153856854,6.175671767210103,6.646310216651873,0.9672921442237165,0.9672921442237165
