,epoch,train_loss,val_loss,classification_train,bbox_regression_train,classification_val,bbox_regression_val
0,1,0.6164267290497326,0.5260038757890774,0.421795755860801,0.1946309722846246,0.018516642972826958,0.018516642972826958
1,2,0.4679501179236037,0.47165134927490726,0.30907991581973226,0.1588702023299482,0.0029788175597786903,0.0029788175597786903
2,3,0.39451331475479456,0.46365418812880915,0.2551189140793476,0.13939440024888697,0.025599170476198196,0.025599170476198196
3,4,0.3747040911723383,0.45737326397405315,0.24084302214941167,0.13386106925184718,0.033963512629270554,0.033963512629270554
4,5,0.3467391337463561,0.4428381484443283,0.22282639247265765,0.12391274193202266,0.0012912711827084422,0.0012912711827084422
5,6,0.3187470973024984,0.3975885108836034,0.19891013573919145,0.1198369606547342,0.0014605345204472542,0.0014605345204472542
6,7,0.27689295455934265,0.40629252586950315,0.16944994474476816,0.10744301029800914,0.0011009995359927416,0.0011009995359927416
7,8,0.2692985068615668,0.4066955366154919,0.16602221753178092,0.10327628962553412,0.0010468180989846587,0.0010468180989846587
8,9,0.24646928001982552,0.4028879852339742,0.14960963135320365,0.0968596484540528,0.0003785050066653639,0.0003785050066653639
9,10,0.22486267494133724,0.42827949927717174,0.13211505500837906,0.092747619839115,0.0007237468962557614,0.0007237468962557614
10,11,0.2243183293100802,0.43818255239602877,0.13238512678765016,0.09193320255726575,0.011572404764592648,0.011572404764592648
11,12,0.23477188257841777,0.386962580031953,0.14217375967480983,0.09259812309413808,0.02318243309855461,0.02318243309855461
12,13,0.19907915143194815,0.4545107086214557,0.1159611550496557,0.08311799613275488,0.0030098920688033104,0.0030098920688033104
13,14,0.17681024275233131,0.39216227512482266,0.0978824783756419,0.07892776458517058,0.00028437122819013894,0.00028437122819013894
14,15,0.1816645504640618,0.5213876105408417,0.10311321557347507,0.07855133473844701,0.005931975785642862,0.005931975785642862
15,16,0.18285681143983354,0.4320795891009463,0.10450595645469485,0.0783508549970468,0.003442248795181513,0.003442248795181513
16,17,0.14679165446918852,0.4617587534341207,0.07466361897547448,0.07212803538974005,0.0004275538958609104,0.0004275538958609104
17,18,0.1407772925342451,0.4148679673727808,0.06951266958939004,0.07126462305789344,0.0010084046516567469,0.0010084046516567469
18,19,0.1362082363593744,0.44520803754357985,0.06439818986358284,0.07181004631752504,0.00011957337119383737,0.00011957337119383737
19,20,0.14762179967194158,0.49279516799106204,0.07868934131970803,0.06893245874200273,7.618686504429206e-05,7.618686504429206e-05
