,epoch,time_elapsed,total_time_elapsed
0,1,447.3785619735718,447.3785619735718
1,2,369.66142439842224,817.039986371994
2,3,358.5958745479584,1175.6358609199524
3,4,409.2223448753357,1584.858205795288
4,5,457.88378953933716,2042.7419953346252
5,6,519.1904466152191,2561.9324419498444
6,7,556.248298406601,3118.1807403564453
7,8,553.2185189723969,3671.399259328842
8,9,467.53399634361267,4138.933255672455
9,10,454.9665422439575,4593.899797916412
10,11,457.42471504211426,5051.324512958527
11,12,464.2265191078186,5515.551032066345
12,13,464.9278836250305,5980.478915691376
13,14,463.4205684661865,6443.899484157562
14,15,465.55271887779236,6909.452203035355
15,16,464.051167011261,7373.503370046616
16,17,463.7224931716919,7837.2258632183075
17,18,463.9113202095032,8301.13718342781
18,19,463.3317320346832,8764.468915462494
19,20,464.6772651672363,9229.14618062973
