,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Object,0.01126647781228614,0.011120729310321695,0.010895256377782698,0.010572705643877313,0.010068916837555836,0.009469875312346346,0.00856236182714649,0.007264456235017485,0.005736570703613608,0.004210025185455006,0.0028820644683199975,0.0019287658371736074,0.0011521904908629258,0.000601964276093285,0.0002903904160187928,0.00011546014139995877,3.894388585888254e-05,7.142435703038869e-06,8.775274389109294e-07,3.036427124259271e-09,0.0007017802515296524
mAP,0.01126647781228614,0.011120729310321695,0.010895256377782698,0.010572705643877313,0.010068916837555836,0.009469875312346346,0.00856236182714649,0.007264456235017485,0.005736570703613608,0.004210025185455006,0.0028820644683199975,0.0019287658371736074,0.0011521904908629258,0.000601964276093285,0.0002903904160187928,0.00011546014139995877,3.894388585888254e-05,7.142435703038869e-06,8.775274389109294e-07,3.036427124259271e-09,0.0007017802515296524
