,epoch,train_loss,val_loss,bbox_regression_train,classification_train,bbox_regression_val,classification_val
0,1,6.008350912528702,4.474473536014557,1.7452766585953627,4.263074268268634,2.0247769951820374,2.0247769951820374
1,2,3.382157211062274,3.731877605120341,0.8473235793128798,2.5348336123212984,1.5052565336227417,1.5052565336227417
2,3,2.619065738931487,3.487529436747233,0.5645942342809483,2.0544715078571176,1.3654340505599976,1.3654340505599976
3,4,2.158353386046011,3.388103872537613,0.40248751131039634,1.7558658817146398,1.3138787746429443,1.3138787746429443
4,5,1.8112889452825618,3.3408147990703583,0.2989077366228345,1.5123812171477307,1.2464281618595123,1.2464281618595123
5,6,1.5273723451397088,3.3441784183184304,0.23088797530795954,1.2964843685113931,1.226002275943756,1.226002275943756
6,7,1.2912017340901532,3.3369742035865784,0.1881243044251128,1.1030774274958839,1.1454330384731293,1.1454330384731293
7,8,1.0959614364406731,3.391375035047531,0.15567349236977251,0.9402879446367675,1.1741990149021149,1.1741990149021149
8,9,0.9274819938442375,3.4349831640720367,0.12968070446690427,0.797801288622844,1.082077443599701,1.082077443599701
9,10,0.7956171639357941,3.4627670347690582,0.11363807754426063,0.6819790892208679,1.1258370280265808,1.1258370280265808
10,11,0.6896530099307434,3.551210900147756,0.10114022905502139,0.5885127831863451,1.0561068058013916,1.0561068058013916
11,12,0.6144404109520248,3.5850031276543937,0.1045217040596129,0.509918706326545,1.1527063846588135,1.1527063846588135
12,13,0.5264601771590076,3.650380472342173,0.0829255585617657,0.4435346179370639,1.0646204054355621,1.0646204054355621
13,14,0.46169156515145604,3.7905433177948,0.07859077927055239,0.3831007857865925,1.13918799161911,1.13918799161911
14,15,0.4248041431360607,3.7502610286076865,0.07519322761063334,0.34961091604413863,1.1321946382522583,1.1321946382522583
