,epoch,train_loss,val_loss,classification_train,bbox_regression_train,bbox_ctrness_train,classification_val,bbox_regression_val,bbox_ctrness_val
0,1,2.0102262129293424,1.9231485206390095,0.9784309813213126,0.40430950530082266,0.6274857280828129,0.6946416695912679,0.6946416695912679,0.6946416695912679
1,2,1.8328059214715646,1.9103456746752017,0.8701044242028321,0.3433337388386097,0.6193677555317076,0.6814426680405935,0.6814426680405935,0.6814426680405935
2,3,1.7439874566604043,1.8058232408817683,0.8275523477138202,0.3031651714303156,0.6132699377208113,0.6057608524958292,0.6057608524958292,0.6057608524958292
3,4,1.6631217415087691,1.687813969416039,0.7832952673399003,0.2714711661302598,0.6083553048355557,0.5914835135142008,0.5914835135142008,0.5914835135142008
4,5,1.5769066617380236,1.734759452744065,0.7274620513144497,0.2455385155914891,0.6039060970472399,0.567152589559555,0.567152589559555,0.567152589559555
5,6,1.5032007600938049,1.6207237441406073,0.6777304679364244,0.22469078409964235,0.6007795081795934,0.4862109323342641,0.4862109323342641,0.4862109323342641
6,7,1.437488021694611,1.6065750211198753,0.6297390994955306,0.20937796858374344,0.5983709583633414,0.5043559074401855,0.5043559074401855,0.5043559074401855
7,8,1.3290056789241662,1.6105979480476023,0.5482503451824745,0.18617677417035414,0.5945785562986525,0.4988945821921031,0.4988945821921031,0.4988945821921031
8,9,1.2144279751543687,1.5773969938821881,0.4542958896398266,0.16811074132848286,0.5920213450477502,0.5034091075261434,0.5034091075261434,0.5034091075261434
9,10,1.1421374597665026,1.6457214785792003,0.39157064968424143,0.15958431328289976,0.5909824963902759,0.5328273276487986,0.5328273276487986,0.5328273276487986
10,11,1.0482558075678057,1.6679610465174524,0.31327380397069815,0.1463342314438076,0.5886477709652107,0.5164114137490591,0.5164114137490591,0.5164114137490591
11,12,0.9940837746198837,1.6364669177298234,0.26789281079458577,0.13862216183654616,0.5875688018364327,0.5713516275087992,0.5713516275087992,0.5713516275087992
12,13,0.9303894338511348,1.7280563100058342,0.2158349655507672,0.12846379306724418,0.5860906733530704,0.5547400116920471,0.5547400116920471,0.5547400116920471
13,14,0.9075290674831127,1.7422397917084327,0.1986604793841524,0.12355639644959401,0.5853121904569252,0.5546136697133383,0.5546136697133383,0.5546136697133383
