,epoch,train_loss,val_loss,classification_train,bbox_regression_train,bbox_ctrness_train,classification_val,bbox_regression_val,bbox_ctrness_val
0,1,0.8525763252906711,1.5094613810635615,0.7722570273729268,0.2762167027511712,0.5282138004968656,0.6153606176376343,0.6153606176376343,0.6153606176376343
1,2,0.7761515848138413,1.4372233085543196,0.6853339174353282,0.23791133727068864,0.5218764653203086,0.5345430076122284,0.5345430076122284,0.5345430076122284
2,3,0.7269170094089948,1.3400564320977324,0.6259453908810131,0.21087396533715877,0.5171910468314853,0.472811222076416,0.472811222076416,0.472811222076416
3,4,0.6698218346334054,1.353705741926401,0.5454392185800265,0.18753075508278944,0.5136903730160165,0.46604886651039124,0.46604886651039124,0.46604886651039124
4,5,0.6250787337471635,1.273336596734752,0.4780292681453175,0.1711002560767615,0.5110984554636144,0.49092726906140643,0.49092726906140643,0.49092726906140643
5,6,0.5750540927461584,1.2455041318191824,0.3995829566314416,0.15608314861473846,0.5085228773826194,0.4651409884293874,0.4651409884293874,0.4651409884293874
6,7,0.5257400015388641,1.3302070168434494,0.32017050046097295,0.1435911572433869,0.5063540395523343,0.6117913126945496,0.6117913126945496,0.6117913126945496
7,8,0.4995176957530692,1.3108393160330358,0.27987244759689556,0.13423269471832525,0.5052341594595775,0.5072496831417084,0.5072496831417084,0.5072496831417084
8,9,0.46917061569391116,1.3488437104643818,0.23359614619239946,0.12408969323281373,0.503752997266912,0.5635972420374552,0.5635972420374552,0.5635972420374552
9,10,0.4539486727096297,1.339344296073454,0.20960917096994666,0.12010119773260379,0.5029469097955762,0.4781813422838847,0.4781813422838847,0.4781813422838847
10,11,0.43407304616967024,1.387371682059825,0.1807576917714622,0.113095303897302,0.5020846246489298,0.5525275468826294,0.5525275468826294,0.5525275468826294
