,epoch,time_elapsed,total_time_elapsed
0,1,536.4258632659912,536.4258632659912
1,2,543.8306477069855,1080.2565109729767
2,3,533.0782778263092,1613.334788799286
3,4,545.7297101020813,2159.064498901367
4,5,539.8898973464966,2698.9543962478638
5,6,540.4241132736206,3239.3785095214844
6,7,539.1867859363556,3778.56529545784
7,8,543.3009254932404,4321.86622095108
8,9,543.6699845790863,4865.536205530167
9,10,540.8753662109375,5406.411571741104
10,11,532.2449595928192,5938.656531333923
11,12,545.4815964698792,6484.1381278038025
12,13,549.5457425117493,7033.683870315552
13,14,548.6963586807251,7582.380228996277
14,15,548.7452614307404,8131.125490427017
15,16,539.98397397995,8671.109464406967
16,17,533.1297166347504,9204.239181041718
17,18,532.3370161056519,9736.57619714737
18,19,540.2437453269958,10276.819942474365
19,20,534.345308303833,10811.165250778198
20,21,544.4862334728241,11355.651484251022
21,22,551.0608005523682,11906.71228480339
22,23,541.4790093898773,12448.191294193268
23,24,529.7192068099976,12977.910501003265
24,25,531.9477388858795,13509.858239889145
25,26,533.3390579223633,14043.197297811508
26,27,532.2511277198792,14575.448425531387
27,28,531.8394613265991,15107.287886857986
28,29,538.3363792896271,15645.624266147614
29,30,552.3007621765137,16197.925028324127
30,31,548.1261522769928,16746.05118060112
31,32,544.4347112178802,17290.485891819
32,33,549.574675321579,17840.06056714058
33,34,511.4595398902893,18351.52010703087
34,35,493.3289875984192,18844.849094629288
35,36,495.2957990169525,19340.14489364624
36,37,491.75970458984375,19831.904598236084
37,38,493.3185272216797,20325.223125457764
38,39,493.6921339035034,20818.915259361267
39,40,493.9503102302551,21312.865569591522
40,41,494.2802481651306,21807.145817756653
