,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,33.54794399700435,30.70078386911719,28.62400276372516,25.40075303783587,22.669616288106337,19.934378935876026,18.11889748957424,15.277733729325279,10.365053597455399,6.5875150541789536
2,bicycle,41.51784643794308,36.08367178867974,34.27961670178083,31.3673894570874,27.746065621489052,25.68019889071241,20.605553962869887,14.619863132484966,12.591756616476523,9.24275642662359
3,bird,34.15365427969297,32.239063007242855,26.55665913370345,24.853925861990948,22.561917488616192,18.324666614881075,16.98178734993669,13.301844932324455,10.151324172202466,4.400065125673785
4,boat,28.5720482254158,25.208294008267778,25.44870323483428,22.72249052292967,18.839294297369868,16.804475603974364,13.940839214387847,11.202110119931778,9.297492184077926,5.000055585678889
5,bottle,18.869775088289423,14.76800150327217,13.011334313841813,11.285651558711109,11.256594999084477,9.617034269608512,9.961848183346312,9.639896581979604,3.460117109032134,5.3047781563099585
