,epoch,time_elapsed,total_time_elapsed
0,1,629.7329649925232,629.7329649925232
1,2,623.2150382995605,1252.9480032920837
2,3,615.5489885807037,1868.4969918727875
3,4,617.8421792984009,2486.3391711711884
4,5,618.5976576805115,3104.9368288517
5,6,616.8791086673737,3721.8159375190735
6,7,616.1901805400848,4338.006118059158
7,8,618.220624923706,4956.226742982864
8,9,617.6829397678375,5573.909682750702
9,10,618.0949523448944,6192.004635095596
10,11,617.940550327301,6809.945185422897
11,12,633.6207938194275,7443.565979242325
12,13,619.9747478961945,8063.540727138519
13,14,618.0253043174744,8681.566031455994
14,15,616.1031424999237,9297.669173955917
15,16,615.1217205524445,9912.790894508362
