,epoch,time_elapsed,total_time_elapsed
0,1,213.22548031806946,213.22548031806946
1,2,210.58013248443604,423.8056128025055
2,3,213.7122278213501,637.5178406238556
3,4,212.61456108093262,850.1324017047882
4,5,211.7647044658661,1061.8971061706543
5,6,212.15967297554016,1274.0567791461945
6,7,212.62670063972473,1486.6834797859192
7,8,210.45345878601074,1697.13693857193
8,9,211.23891949653625,1908.3758580684662
9,10,213.4419424533844,2121.8178005218506
10,11,212.46982884407043,2334.287629365921
11,12,210.7114520072937,2544.9990813732147
12,13,214.65639472007751,2759.6554760932922
13,14,212.487135887146,2972.1426119804382
14,15,210.3642725944519,3182.50688457489
15,16,212.1848394870758,3394.691724061966
16,17,211.50161910057068,3606.1933431625366
17,18,209.75672817230225,3815.950071334839
18,19,212.53152346611023,4028.481594800949
