,epoch,train_loss,val_loss,bbox_regression_train,classification_train,bbox_regression_val,classification_val
0,1,4.297717146109079,3.5613581215341887,0.4462655454490135,3.8514516078788814,0.0,0.0
1,2,2.688029178044268,3.238024385025104,0.2972195013134762,2.390809676210389,0.0,0.0
2,3,2.1913199404723773,3.0850176426271596,0.26311957788660784,1.9282003592898826,0.0,0.0
3,4,1.8350479717473038,2.75648221001029,0.22981007481633706,1.6052379001187915,0.0,0.0
4,5,1.6079031869200349,2.7067662129799523,0.21589970148047646,1.3920034833536803,0.0,0.0
5,6,1.4009608387947083,2.5488440034290156,0.2260377874597907,1.1749230515183384,0.0,0.0
6,7,1.2243695726603951,2.52654941752553,0.2241756054252841,1.0001939701215001,0.0,0.0
7,8,1.134361602286346,2.5236926153302193,0.20774316277696203,0.9266184402558639,0.0,0.0
8,9,0.9558174578515628,2.4549201180537543,0.1843012399537816,0.7715162171434811,0.0,0.0
9,10,0.863303746851801,2.5079390617708364,0.18086866488225245,0.6824350817854168,0.0,0.0
10,11,0.7510113428453453,2.4352464079856873,0.1803095350027767,0.5707018077601004,0.0,0.0
11,12,0.6877191026247185,2.4862765905757747,0.18670648480303415,0.501012616621629,0.0,0.0
12,13,0.6364879743288492,2.5191693839927516,0.1650920008956135,0.4713959722218054,0.0,0.0
13,14,0.5031736365597667,2.5906050074845552,0.1495488824479225,0.3536247534279264,0.0,0.0
14,15,0.5244075926091835,2.7476282992089787,0.15762293104452033,0.36678466155755385,0.0,0.0
15,16,0.49077471151720475,2.730887903521458,0.15507714632073888,0.3356975644912201,0.0,0.0
16,17,0.44950980817657393,2.7864126938705644,0.14645728459795013,0.3030525241651437,0.0,0.0
17,18,0.3305756462439326,2.813239761783431,0.135120830315215,0.19545481636878528,0.0,0.0
18,19,0.4237619971557883,3.2390198248128095,0.1428652766309963,0.2808967214433178,0.0,0.0
