,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,person,23.611822841714723,21.732279430829312,19.86623215627466,17.529705498102174,15.321809666120519,13.26340481025265,11.277153251176015,9.256667074038246,7.078516214762822,4.731991011024673
2,chair,32.15027715445087,27.50590468756634,23.258370490295672,19.26925218149328,15.605346903290762,12.308669003993284,8.757125850848842,7.595377044399112,5.763951528881229,3.4971037924177724
3,car,14.903734939533729,13.558633020377874,12.329092491072693,11.43636431973876,10.805967526468237,10.142743242837991,9.351735153678899,8.284136480620813,7.137190303100258,4.578836284839563
4,dog,30.486175852477736,27.606380459132904,24.182743258579865,21.575048427638286,18.418526618060366,15.585822968404319,13.237191641186477,10.911084182826787,8.848304106096439,5.507149424528355
5,bottle,9.68676991184799,9.243985585021523,7.879535180124489,6.214800951024326,5.548903130100757,5.1547926890823925,4.559486894766972,4.503953317045371,4.761990910230168,3.847652841397053
6,cat,33.78235210109168,30.77698411721508,28.65494685232387,25.958338861939964,22.389346215050075,19.56072283930568,16.184128845998874,12.206612703824995,10.474608610409723,7.511658316710665
7,bird,20.84151336880878,18.010046866608757,17.36038012386815,14.783394803980269,13.662531818201606,11.40902800528061,9.731143460642942,7.826705169719339,5.152613410633995,3.069640834984904
8,pottedplant,22.98304663938559,21.516113739696838,18.726041268491585,13.92165117362025,12.550587641633353,8.793065247936845,6.537095742035114,6.338140517620604,5.297447467758657,2.1041498406913597
9,sheep,13.787396579358573,13.339722261646465,12.30296614764778,10.198400351681714,8.780619991272127,6.677341617415259,5.199809969799688,4.601422604537914,3.5978188089011995,2.549462470406214
10,boat,24.589319778975252,23.712529690084732,22.149251026834026,18.24439142288421,15.453857983464342,11.649078692753767,11.667664159617763,11.835923359368834,9.627311877664134,5.359906406080299
