,epoch,train_loss,val_loss,bbox_regression_train,classification_train,bbox_regression_val,classification_val
0,1,5.630675474338442,4.608082506144158,1.596204928775257,4.03447054312608,2.66918283700943,2.66918283700943
1,2,4.113065771131872,4.127082098310239,1.1470962387518349,2.965969533842301,2.606201469898224,2.606201469898224
2,3,3.517295785735701,4.0428489346370515,0.9265339489608446,2.5907618336588425,2.398293972015381,2.398293972015381
3,4,3.070932052959906,3.894317948929617,0.7692612767149912,2.30167077147515,2.3539236187934875,2.3539236187934875
4,5,2.727621568976162,3.8764169806631927,0.6600047194999512,2.067616850625132,2.57462078332901,2.57462078332901
5,6,2.4013376970575235,4.111428853507354,0.5684969370714693,1.8328407566263296,2.801430106163025,2.801430106163025
6,7,2.1025462626853835,4.209608220608435,0.4912404622360368,1.611305798534478,2.8848316073417664,2.8848316073417664
7,8,1.8819191669610058,4.430193537863616,0.4443776698382658,1.4375414968790294,2.95701664686203,2.95701664686203
8,9,1.6749002705110567,4.484607250333946,0.3980166750881716,1.2768835929509634,2.9330707788467407,2.9330707788467407
9,10,1.5039972095428227,4.528946341755234,0.36720723181823706,1.1367899770282697,2.851456940174103,2.851456940174103
