,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Clear Plastic Bottle,0.4153989696158371,0.407646748610604,0.407646748610604,0.407646748610604,0.407646748610604,0.407646748610604,0.407646748610604,0.407646748610604,0.3974240395927143,0.38482820169567156,0.36509675063891933,0.3506389193136181,0.324891485132449,0.2957283680175246,0.23757251227130743,0.17889740781307045,0.11586142549997971,0.053648939191107865,0.011829134720700985,0.0002596243560098982,0.19344245669546872
Drink Can,0.6053416738991599,0.5875530155403083,0.5875530155403083,0.5875530155403083,0.5875530155403083,0.5875530155403083,0.5836360063536771,0.5719635809848199,0.5565837522720946,0.5432983444413514,0.5283115266838063,0.48460870846774856,0.4275975567818953,0.36173383333060405,0.2752714231909214,0.20289845579445528,0.10984819951856159,0.04676994121211129,0.005508703555111599,0.00027674521427284784,0.24428250937494886
Drink Carton,0.366723259762309,0.366723259762309,0.366723259762309,0.366723259762309,0.366723259762309,0.366723259762309,0.366723259762309,0.366723259762309,0.366723259762309,0.35660724391624227,0.35660724391624227,0.35660724391624227,0.35660724391624227,0.3175580079230334,0.2546689303904924,0.19871250707413696,0.12478777589134124,0.0636672325976231,0.015916808149405774,0.0,0.20451329937747595
Glass Bottle,0.08366013071895426,0.07600081699346406,0.07600081699346406,0.07600081699346406,0.07600081699346406,0.07600081699346406,0.07352941176470588,0.07109885620915034,0.06405228758169934,0.059558823529411775,0.059558823529411775,0.05106209150326797,0.04136029411764706,0.036029411764705886,0.025020424836601305,0.014889705882352944,0.005228758169934641,0.00247140522875817,0.0005106209150326798,0.0,0.023613153594771244
Glass Jar,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.002564102564102564
Other Plastic Bottle,0.2733661639478814,0.26592797783933514,0.2585923874012517,0.2585923874012517,0.25135939263363083,0.25135939263363083,0.25135939263363083,0.25135939263363083,0.25135939263363083,0.25135939263363083,0.25135939263363083,0.25135939263363083,0.24422899353647273,0.23720119010977733,0.203601108033241,0.1725659177182723,0.12316610239047912,0.037396121883656507,0.008669334154098696,0.00020519134092541292,0.15297527444341846
mAP,0.2916030671787245,0.28483000397903757,0.2836074055726903,0.2836074055726903,0.28240190644475355,0.28240190644475355,0.28133717070885533,0.2789866738881199,0.27354515616177555,0.26679670189075216,0.2610103237550359,0.24990076016045215,0.23330229643548525,0.2088965027123084,0.16687710064179476,0.127993999047048,0.07981537691171604,0.03399227335220949,0.007072433582391621,0.00012359348520135982,0.1368984660083643
