Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
Clear Plastic Bottle,0.5050505050505051,0.7228915662650602,0.5946481665014867
Drink Can,0.7189873417721518,0.7347994825355757,0.72680742162508
Drink Carton,0.6228070175438597,0.5725806451612904,0.5966386554621849
Glass Bottle,0.17647058823529413,0.3375,0.23175965665236054
Glass Jar,0.3333333333333333,0.015384615384615385,0.029411764705882356
Other Plastic Bottle,0.6140350877192983,0.4093567251461988,0.4912280701754385
Mean,0.49511397894240705,0.46541883908212345,0.4450822891870721
