,epoch,train_loss,val_loss,loss_classifier_train,loss_box_reg_train,loss_objectness_train,loss_rpn_box_reg_train,loss_classifier_val,loss_box_reg_val,loss_objectness_val,loss_rpn_box_reg_val
0,1,0.24076926236665702,0.2584782261401415,0.09338427127539357,0.12073222359147252,0.021532222586963915,0.005120545900515222,0.0184271530888509,0.0184271530888509,0.0184271530888509,0.0184271530888509
1,2,0.16824010674712025,0.22294890570143858,0.05712299501594109,0.1039349558421328,0.003771140169215247,0.003411015762381633,0.018227357126306742,0.018227357126306742,0.018227357126306742,0.018227357126306742
2,3,0.12737079766354983,0.2201600323120753,0.043951897068491466,0.07899456089244614,0.002179645965722407,0.0022446937944527855,0.018223699669761118,0.018223699669761118,0.018223699669761118,0.018223699669761118
3,4,0.1053067684833762,0.1943686536202828,0.03208497793802732,0.07046001496477218,0.000983516673553408,0.001778258061584651,0.015424266384798102,0.015424266384798102,0.015424266384798102,0.015424266384798102
4,5,0.09466012491832805,0.18146080523729324,0.028406094311724736,0.06331845750159855,0.0012329614968897473,0.0017026120006943806,0.012522779608843848,0.012522779608843848,0.012522779608843848,0.012522779608843848
5,6,0.08635526287216175,0.21089460235089064,0.02302149441564762,0.06137654312615153,0.00035341129128200804,0.001603814169449166,0.013994722513416491,0.013994722513416491,0.013994722513416491,0.013994722513416491
6,7,0.0686027156306973,0.189758714598914,0.017499481934959753,0.049830226604885695,0.0002062121951249664,0.0010667949890249256,0.0124271138356562,0.0124271138356562,0.0124271138356562,0.0124271138356562
7,8,0.07698070418231096,0.2109967479482293,0.018954568483595606,0.0565615873548049,0.0003191195556391443,0.0011454290490084669,0.013122475356794894,0.013122475356794894,0.013122475356794894,0.013122475356794894
8,9,0.07020678790875629,0.1941682587688168,0.01785353677276569,0.051010620909967,0.00019798925516429164,0.0011446414444642732,0.008247467816545395,0.008247467816545395,0.008247467816545395,0.008247467816545395
9,10,0.05475620093130613,0.18786707427352667,0.013823195307550929,0.03981398484563526,0.00020887104426924163,0.0009101497050289277,0.007727502100351558,0.007727502100351558,0.007727502100351558,0.007727502100351558
10,11,0.05627319775521755,0.19541517365723848,0.013996432099161269,0.041331065936556347,0.00012557540846696783,0.0008201245128256681,0.014650955220986361,0.014650955220986361,0.014650955220986361,0.014650955220986361
11,12,0.054453342257043985,0.20981522959967455,0.013412725793409951,0.040147911391775065,0.0001293447693327996,0.0007633601944920124,0.012840366340242326,0.012840366340242326,0.012840366340242326,0.012840366340242326
12,13,0.05675998577683032,0.215418322943151,0.01382273151775044,0.04184783485871327,0.00025580293397898813,0.0008336163628433796,0.019852542551234365,0.019852542551234365,0.019852542551234365,0.019852542551234365
