Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
Clear Plastic Bottle,0.2191780821917808,0.9696969696969697,0.3575418994413408
Drink Can,0.2639593908629442,0.9811320754716981,0.416
Drink Carton,0.12903225806451613,1.0,0.2285714285714286
Glass Bottle,0.09154929577464789,0.7222222222222222,0.1625
Glass Jar,0.1,0.9090909090909091,0.1801801801801802
Other Plastic Bottle,0.3103448275862069,1.0,0.4736842105263158
Mean,0.18567730908001598,0.9303570294136332,0.30307961978654424
