,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clear Plastic Bottle,0.15865384615384615,0.15865384615384615,0.15865384615384615,0.15865384615384615,0.15865384615384615,0.15865384615384615,0.15865384615384615,0.14918414918414918,0.14918414918414918,0.14918414918414918,0.14918414918414918,0.14918414918414918,0.14918414918414918,0.14000582750582752,0.14000582750582752,0.09848484848484848,0.0472027972027972,0.028554778554778556,0.0036421911421911425,0.0005827505827505828
Drink Can,0.2190082644628099,0.2190082644628099,0.2190082644628099,0.2190082644628099,0.2190082644628099,0.2190082644628099,0.2190082644628099,0.2190082644628099,0.2190082644628099,0.2190082644628099,0.2190082644628099,0.2190082644628099,0.2190082644628099,0.18719787930765633,0.16497738967721817,0.15788242632153437,0.1125838141275534,0.061125838141275535,0.007796663028223921,0.0
Drink Carton,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.05357142857142857,0.0
Glass Bottle,0.05917874396135266,0.05917874396135266,0.05917874396135266,0.05917874396135266,0.051026570048309176,0.051026570048309176,0.051026570048309176,0.051026570048309176,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.036533816425120776,0.036533816425120776,0.036533816425120776,0.036533816425120776,0.014794685990338166,0.014794685990338166,0.002717391304347826,0.00030193236714975844,0.0
Glass Jar,0.056487202118270075,0.056487202118270075,0.056487202118270075,0.056487202118270075,0.056487202118270075,0.056487202118270075,0.056487202118270075,0.04324801412180053,0.04324801412180053,0.04324801412180053,0.04324801412180053,0.04324801412180053,0.04324801412180053,0.03177405119152692,0.022065313327449248,0.022065313327449248,0.022065313327449248,0.014121800529567519,0.00794351279788173,0.0
Other Plastic Bottle,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.17307692307692307,0.1543803418803419,0.1543803418803419,0.1543803418803419,0.1543803418803419,0.1047008547008547,0.026175213675213676,0.0
mAP,0.12694051250188285,0.12694051250188285,0.12694051250188285,0.12694051250188285,0.12558181684970893,0.12558181684970893,0.12558181684970893,0.12179700268868117,0.12053895115889053,0.12053895115889053,0.12053895115889053,0.11938154375148313,0.11938154375148313,0.10752166859142813,0.10220013067567546,0.09047428520710125,0.07437750796109587,0.0510764597448199,0.0165718235970148,9.712509712509713e-05
