Class,Precision,Recall,F1 Score
Clear Plastic Bottle,0.0,0.0,0.0
Drink Can,0.2157676348547718,0.9811320754716981,0.3537414965986395
Drink Carton,0.1038961038961039,1.0,0.18823529411764706
Glass Bottle,0.0660377358490566,0.7777777777777778,0.12173913043478261
Glass Jar,0.060810810810810814,0.8181818181818182,0.11320754716981132
Other Plastic Bottle,0.17307692307692307,1.0,0.29508196721311475
Mean,0.12391784169753324,0.9154183342862587,0.21440108710679903
