,epoch,time_elapsed,total_time_elapsed
0,1,486.1302993297577,486.1302993297577
1,2,484.47989439964294,970.6101937294006
2,3,472.24608516693115,1442.8562788963318
3,4,474.5277156829834,1917.3839945793152
4,5,476.36332607269287,2393.747320652008
5,6,474.1417944431305,2867.8891150951385
6,7,474.6787624359131,3342.5678775310516
7,8,472.40879225730896,3814.9766697883606
8,9,473.9050307273865,4288.881700515747
9,10,473.9173848628998,4762.799085378647
10,11,472.9810652732849,5235.780150651932
11,12,475.1806366443634,5710.960787296295
12,13,473.89155197143555,6184.852339267731
13,14,471.67559719085693,6656.527936458588
14,15,479.63587069511414,7136.163807153702
15,16,473.80441546440125,7609.968222618103
16,17,473.8352155685425,8083.8034381866455
17,18,475.2774429321289,8559.080881118774
18,19,481.08115577697754,9040.162036895752
19,20,484.83319902420044,9524.995235919952
20,21,490.86439538002014,10015.859631299973
21,22,475.1921880245209,10491.051819324493
22,23,476.58182644844055,10967.633645772934
23,24,476.86390924453735,11444.497555017471
24,25,476.38139486312866,11920.8789498806
25,26,475.7048637866974,12396.583813667297
