,epoch,train_loss,val_loss,loss_classifier_train,loss_box_reg_train,loss_objectness_train,loss_rpn_box_reg_train,loss_classifier_val,loss_box_reg_val,loss_objectness_val,loss_rpn_box_reg_val
0,1,0.009543625327922006,2.435924885173639,1.424876145188135,0.022415556296679982,0.4398475256696066,0.022577794970246253,0.3218485803809017,0.3218485803809017,0.3218485803809017,0.3218485803809017
1,2,0.004275798388109863,2.454827160884937,1.4292630484995952,0.02486085801116855,0.43949321591906704,0.024599149979552443,0.32957940897904336,0.32957940897904336,0.32957940897904336,0.32957940897904336
2,3,0.00325010260780349,2.4206644805769124,1.4534366319197736,0.028050895100072887,0.416881318582077,0.0246964783362273,0.34097063541412354,0.34097063541412354,0.34097063541412354,0.34097063541412354
3,4,0.002906365351367543,2.4220460702975593,1.4730534614497468,0.029597920215735745,0.3966715599488994,0.02473864066188897,0.34080967120826244,0.34080967120826244,0.34080967120826244,0.34080967120826244
4,5,0.0031802659953823528,2.468236063917478,1.4822322040113785,0.028466012957539207,0.3979288099218784,0.02472687194409126,0.3411537017673254,0.3411537017673254,0.3411537017673254,0.3411537017673254
5,6,0.0028712184147070383,2.433276683712999,1.4988590648156086,0.028968635646376195,0.3895241679263424,0.025176373843031664,0.34384844917804,0.34384844917804,0.34384844917804,0.34384844917804
6,7,0.002532399269460722,2.442436225091418,1.513124297593386,0.027657503125785212,0.38266224332228443,0.025009240124922047,0.3522296855226159,0.3522296855226159,0.3522296855226159,0.3522296855226159
7,8,0.002394557931950984,2.441379791125655,1.5245338525480896,0.02722603921522564,0.3807476791048162,0.024623217610046908,0.35165564669296145,0.35165564669296145,0.35165564669296145,0.35165564669296145
8,9,0.0022368146490504724,2.4284843330581984,1.5313883660403826,0.02661200118147171,0.3761558973890867,0.02451943064191026,0.3516865037381649,0.3516865037381649,0.3516865037381649,0.3516865037381649
9,10,0.0022709781318220475,2.4415173965195813,1.539372378542223,0.025666443822766123,0.3765424289094117,0.024500510711485044,0.3499947879463434,0.3499947879463434,0.3499947879463434,0.3499947879463434
10,11,0.0021013397638124363,2.429156865924597,1.5464154972374895,0.022720573816720827,0.3825203072479225,0.024575499625474312,0.35533993132412434,0.35533993132412434,0.35533993132412434,0.35533993132412434
