,epoch,train_loss,val_loss,classification_train,bbox_regression_train,classification_val,bbox_regression_val
0,1,0.11552591932824352,0.27162997246933146,0.21515254795382116,0.08557797694539598,0.31826212257146835,0.31826212257146835
1,2,0.09322546451802965,0.2523634093247841,0.1869775848406058,0.06835338028820197,0.2827967703342438,0.2827967703342438
2,3,0.07835242879306614,0.22881946285042007,0.15888478977965553,0.05932961778865396,0.2553316280245781,0.2553316280245781
3,4,0.06945376423969277,0.22442429890381782,0.14117039758275496,0.05398609088657633,0.2672875225543976,0.2672875225543976
4,5,0.06343323894897171,0.223240444670996,0.12963666998488593,0.05051994512062172,0.32814542949199677,0.32814542949199677
5,6,0.056293602853444424,0.2397618758957017,0.11282676512486449,0.04700072644611333,0.2752762734889984,0.2752762734889984
6,7,0.054863106316444026,0.31648302234265363,0.10982004746682977,0.0461233718544854,0.371036559343338,0.371036559343338
7,8,0.05149395893481299,0.24181261823730757,0.0983582150833869,0.04453509132716169,0.2735557183623314,0.2735557183623314
8,9,0.04178741370145804,0.2447197471248099,0.07613254824452703,0.04027846099908908,0.2855248674750328,0.2855248674750328
9,10,0.043185225042400806,0.22508274333099465,0.0808862062616261,0.04081218495990028,0.25310003012418747,0.25310003012418747
