,epoch,time_elapsed,total_time_elapsed
0,1,379.6948046684265,379.6948046684265
1,2,379.66254568099976,759.3573503494263
2,3,379.8919198513031,1139.2492702007294
3,4,380.01183915138245,1519.2611093521118
4,5,381.2124457359314,1900.4735550880432
5,6,380.67983508110046,2281.1533901691437
6,7,379.00392055511475,2660.1573107242584
7,8,394.1577310562134,3054.315041780472
8,9,442.03848123550415,3496.353523015976
9,10,552.7204849720001,4049.074007987976
10,11,533.7457084655762,4582.819716453552
11,12,406.5836544036865,4989.403370857239
12,13,403.13667392730713,5392.540044784546
13,14,404.8095271587372,5797.349571943283
14,15,408.84730315208435,6206.196875095367
15,16,384.89910316467285,6591.09597826004
16,17,377.43264961242676,6968.528627872467
17,18,377.70183968544006,7346.230467557907
18,19,378.1932952404022,7724.423762798309
19,20,378.5912435054779,8103.015006303787
20,21,427.1606066226959,8530.175612926483
21,22,510.22701621055603,9040.40262913704
22,23,484.34903025627136,9524.75165939331
23,24,457.0975022315979,9981.849161624908
24,25,523.489551782608,10505.338713407516
25,26,517.3887729644775,11022.727486371994
