,epoch,train_loss,val_loss,classification_train,bbox_regression_train,classification_val,bbox_regression_val
0,1,0.014663277429933766,1.1233237045817077,0.8145408016352254,0.3003404095427681,0.1415877342224121,0.1415877342224121
1,2,0.006235592840737059,1.0763285486027598,0.8706583075850974,0.28862408750214197,0.1388969123363495,0.1388969123363495
2,3,0.004989663255578689,1.0256740042629342,0.766532703938375,0.2868703399009946,0.14191895723342896,0.14191895723342896
3,4,0.004213859311496939,0.9810374801357588,0.7068342636104759,0.28675806593747083,0.14074227213859558,0.14074227213859558
4,5,0.0034023140905467607,0.9213311959368488,0.6896402279611762,0.2821401373660974,0.14272695779800415,0.14272695779800415
5,6,0.003050764598919235,0.94134342065081,0.6919353606591698,0.27807251795671367,0.14460070431232452,0.14460070431232452
6,7,0.0034521603516039956,0.9265961366084715,0.7050232848593296,0.28234207168335224,0.14826294779777527,0.14826294779777527
7,8,0.002900557436105859,0.9790189104775587,0.6926377803087235,0.2826694295322167,0.14943383634090424,0.14943383634090424
8,9,0.0023283084612766296,0.9190838265543183,0.697774821474352,0.2875522943284675,0.15356376767158508,0.15356376767158508
9,10,0.0017595625788200903,0.905127536971122,0.6874485096403661,0.2794048384884159,0.15698707103729248,0.15698707103729248
10,11,0.001716150263793596,0.9188294933798412,0.6919318088820873,0.27722978812023885,0.15935392677783966,0.15935392677783966
11,12,0.0016521586944128722,0.9353499917003015,0.6886456698406743,0.27478323436363505,0.16211596131324768,0.16211596131324768
12,13,0.00146181701703836,0.9059634759711722,0.6909966613500172,0.274102201082438,0.1657901406288147,0.1657901406288147
13,14,0.0021356025156174,0.9355277515326937,0.6947832073646647,0.2783262007820015,0.168034166097641,0.168034166097641
14,15,0.0014922966597644427,0.9333642874844372,0.7033674383208952,0.27746910492654975,0.1705322265625,0.1705322265625
15,16,0.0011257930111339073,0.9352108833069602,0.6936398975721753,0.2733125152109006,0.17426538467407227,0.17426538467407227
16,17,0.0018506228355050997,0.9405232868157327,0.7028465841562693,0.27515511575602847,0.17864036560058594,0.17864036560058594
17,18,0.0013128930717024184,0.939436937837551,0.699436849628696,0.2767994484003946,0.18055367469787598,0.18055367469787598
