,epoch,train_loss,val_loss,classification_train,bbox_regression_train,classification_val,bbox_regression_val
0,1,0.1634201011591136,0.110821742239447,0.10027584325520407,0.0631442580883967,0.0004126744461245835,0.0004126744461245835
1,2,0.08301229400996595,0.08754574759010818,0.035871107385001495,0.047141186778526044,0.00012552259431686252,0.00012552259431686252
2,3,0.0630689467720795,0.12133784822575915,0.021568233889266795,0.041500712821672434,1.8301228919881396e-05,1.8301228919881396e-05
3,4,0.05743883957318008,0.06973776517105534,0.019482649842076996,0.037956189643236174,8.913494639273267e-06,8.913494639273267e-06
4,5,0.05407193673616639,0.05896553108793038,0.01767497503898286,0.03639696179462583,4.4749358494300395e-05,4.4749358494300395e-05
5,6,0.04627600219546713,0.06757679417806155,0.011870555366676715,0.034405446941928784,1.4715187717229128e-05,1.4715187717229128e-05
6,7,0.04218845619325571,0.07205560229582868,0.010264747215639636,0.031923708975855405,1.0267448487866204e-05,1.0267448487866204e-05
7,8,0.054024789373926685,0.05579334972359599,0.019547172320083777,0.03447761700083395,4.804084528586827e-05,4.804084528586827e-05
8,9,0.08288088815446382,0.06282869135551057,0.045695978336469205,0.037184910009835516,6.960107566555962e-05,6.960107566555962e-05
9,10,0.041676296967444744,0.06577359937154863,0.010972976292168476,0.03070332066490109,8.212311513489112e-06,8.212311513489112e-06
10,11,0.03795792944887622,0.06104053331968847,0.00870223729724028,0.02925569211978835,1.588569830346387e-05,1.588569830346387e-05
11,12,0.03550766260813993,0.05597433819146621,0.007183589147898046,0.028324073438980538,1.9842793335556053e-05,1.9842793335556053e-05
12,13,0.03665480778357307,0.05215782860887922,0.008716925894192824,0.02793788179605915,5.624784535029903e-06,5.624784535029903e-06
13,14,0.0333118059676081,0.06424746544277582,0.005742863686429548,0.0275689423393515,5.350544597604312e-06,5.350544597604312e-06
14,15,0.03037062520812011,0.053907983362866695,0.0053693741112379,0.025001251143367806,5.604572379525052e-06,5.604572379525052e-06
15,16,0.03081130346624398,0.05541956127386053,0.005616419663269984,0.025194883898597295,9.442208465770818e-06,9.442208465770818e-06
16,17,0.12306974345477914,0.05403416286230822,0.09488454102897326,0.028185200697621544,3.195532553945668e-05,3.195532553945668e-05
17,18,0.02910122994773479,0.04806633261931855,0.004864154738408324,0.02423707515051062,6.905617283337051e-06,6.905617283337051e-06
18,19,0.027296306107058875,0.04717775849946785,0.003742580002608173,0.023553726072991908,6.8637841650343034e-06,6.8637841650343034e-06
19,20,0.027361997420256426,0.05350710773596745,0.003823393542169824,0.0235386039446755,3.6337239635031438e-06,3.6337239635031438e-06
20,21,0.02738045538986584,0.03959738781818108,0.004641958242799225,0.022738497144763024,3.958281013183296e-06,3.958281013183296e-06
21,22,0.025173306363827398,0.0444770396963842,0.002950105214909604,0.02222320122878913,5.657764177158242e-06,5.657764177158242e-06
22,23,0.025634306010243833,0.04389309702475922,0.0029045496198462227,0.02272975642753068,1.4002233911014628e-05,1.4002233911014628e-05
23,24,0.02529058324851208,0.05126909666400555,0.003188878205982229,0.022101705077722782,7.828999514458701e-06,7.828999514458701e-06
24,25,0.02583125976648227,0.049242154429000116,0.003559168682478709,0.022272091024761437,8.75911700859433e-06,8.75911700859433e-06
25,26,0.025255199561259722,0.04253527644077811,0.00420057273940081,0.0210546268788273,7.053589342831401e-06,7.053589342831401e-06
26,27,0.02398918343060324,0.07496809048388779,0.0032773867598675783,0.020711796695032363,5.589381999016041e-06,5.589381999016041e-06
27,28,0.0233747331403324,0.05514882702825238,0.002217624462056625,0.021157108648424214,8.053240890149027e-06,8.053240890149027e-06
28,29,0.024068600382040777,0.045249305342108435,0.003495935790126085,0.02057266459970927,1.457058715459425e-06,1.457058715459425e-06
