,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Litter,0.4157316241623945,0.4128108021220293,0.4123249995137684,0.411839482924117,0.41086930780064274,0.40990027675160656,0.40893238977700846,0.40893238977700846,0.4079656468768484,0.4065176776661797,0.40459105631248793,0.40123048065999367,0.3969303338752433,0.3945513740906038,0.3907599114028755,0.3869867539061561,0.38089441451418593,0.3610871967773711,0.3119789455981164,0.17715549344502549,0.360616596058206
mAP,0.4157316241623945,0.4128108021220293,0.4123249995137684,0.411839482924117,0.41086930780064274,0.40990027675160656,0.40893238977700846,0.40893238977700846,0.4079656468768484,0.4065176776661797,0.40459105631248793,0.40123048065999367,0.3969303338752433,0.3945513740906038,0.3907599114028755,0.3869867539061561,0.38089441451418593,0.3610871967773711,0.3119789455981164,0.17715549344502549,0.360616596058206
