,epoch,train_loss,val_loss,classification_train,bbox_regression_train,classification_val,bbox_regression_val
0,1,0.6701060367535941,0.48468747983376187,0.3593922991164123,0.3107137374485595,0.2711717486381531,0.2711717486381531
1,2,0.43359215897095355,0.42883676290512085,0.2180838509450985,0.21550830802585505,0.17003992944955826,0.17003992944955826
2,3,0.37197958291331423,0.3546239398419857,0.1883997018390064,0.18357987909377377,0.18340686708688736,0.18340686708688736
3,4,0.2639833043647718,0.29970771943529445,0.11054720140144794,0.1534361035763463,0.1784280464053154,0.1784280464053154
4,5,0.2116317258605474,0.34237051010131836,0.07572278811867479,0.13590893837847287,0.09228372760117054,0.09228372760117054
5,6,0.20045828545772576,0.306794377664725,0.06523135952840123,0.1352269245853907,0.09668660536408424,0.09668660536408424
6,7,0.19580337490084804,0.343941035370032,0.06826580717829586,0.1275375676871855,0.15202321857213974,0.15202321857213974
7,8,0.19434288162973862,0.284852525840203,0.07392716900551621,0.12041571321366709,0.11578873172402382,0.11578873172402382
8,9,0.15383809144738353,0.3224327911933263,0.0405201428935309,0.11331794802335245,0.20759468525648117,0.20759468525648117
9,10,0.14503575503071653,0.29083964601159096,0.036811413750335385,0.10822434148079232,0.22842104732990265,0.22842104732990265
10,11,0.17039452191395096,0.3171820801993211,0.051002135629989676,0.11939238653152803,0.111556775867939,0.111556775867939
11,12,0.14164491167551355,0.3443997638920943,0.036637993859527984,0.10500691802818564,0.10393858700990677,0.10393858700990677
12,13,0.11451563889844509,0.3047315701842308,0.015334510321056918,0.09918112892516051,0.04993674159049988,0.04993674159049988
13,14,0.09208472851145116,0.32971260448296863,0.007994799241806745,0.08408992907291726,0.0881272666156292,0.0881272666156292
14,15,0.0990178236101247,0.42264891415834427,0.010608378410946483,0.08840944476519959,0.2854251191020012,0.2854251191020012
15,16,0.0983255440958693,0.3833641583720843,0.011213812800242176,0.08711173111879372,0.1345561109483242,0.1345561109483242
