,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Object,0.08107296183826979,0.08028154131599084,0.07972773026675266,0.07909109935428975,0.07835158869355749,0.07753165418385771,0.07677861951129135,0.0761123404034752,0.07505645945311555,0.0733130471738062,0.07102705533930936,0.0672063922711442,0.06188869240626806,0.05296261066537685,0.04134187913642088,0.029947648931567622,0.018939890155364368,0.009168439291889034,0.0022508356418718036,8.030759265443844e-05,0.03548137514318665
mAP,0.08107296183826979,0.08028154131599084,0.07972773026675266,0.07909109935428975,0.07835158869355749,0.07753165418385771,0.07677861951129135,0.0761123404034752,0.07505645945311555,0.0733130471738062,0.07102705533930936,0.0672063922711442,0.06188869240626806,0.05296261066537685,0.04134187913642088,0.029947648931567622,0.018939890155364368,0.009168439291889034,0.0022508356418718036,8.030759265443844e-05,0.03548137514318665
