,epoch,time_elapsed,total_time_elapsed
0,1,880.0911455154419,880.0911455154419
1,2,880.1904616355896,1760.2816071510315
2,3,815.9782159328461,2576.2598230838776
3,4,864.2178666591644,3440.477689743042
4,5,740.6303417682648,4181.108031511307
5,6,752.6968340873718,4933.804865598679
6,7,849.6671888828278,5783.472054481506
7,8,826.2870907783508,6609.759145259857
8,9,814.0960569381714,7423.855202198029
9,10,738.0987865924835,8161.953988790512
10,11,726.52969622612,8888.483685016632
11,12,933.3254597187042,9821.809144735336
12,13,673.5020530223846,10495.311197757721
13,14,712.0486414432526,11207.359839200974
14,15,692.9302818775177,11900.290121078491
15,16,727.7337930202484,12628.02391409874
16,17,657.2477197647095,13285.27163386345
17,18,734.4181907176971,14019.689824581146
18,19,896.188747882843,14915.87857246399
19,20,911.4621858596802,15827.34075832367
