,epoch,time_elapsed,total_time_elapsed
0,1,596.6945502758026,596.6945502758026
1,2,596.8402991294861,1193.5348494052887
2,3,596.9491093158722,1790.483958721161
3,4,597.4537234306335,2387.9376821517944
4,5,596.8554241657257,2984.79310631752
5,6,598.0968203544617,3582.889926671982
6,7,597.2920031547546,4180.181929826736
7,8,598.4076459407806,4778.589575767517
8,9,597.5414111614227,5376.13098692894
9,10,596.7890520095825,5972.920038938522
10,11,597.9931395053864,6570.913178443909
11,12,597.3013758659363,7168.214554309845
12,13,596.9366543292999,7765.151208639145
13,14,596.8614151477814,8362.012623786926
14,15,597.2947759628296,8959.307399749756
15,16,597.1155045032501,9556.422904253006
16,17,597.1555666923523,10153.578470945358
17,18,597.5526075363159,10751.131078481674
