,epoch,time_elapsed,total_time_elapsed
0,1,734.0392830371857,734.0392830371857
1,2,742.8217217922211,1476.8610048294067
2,3,738.1675550937653,2215.028559923172
3,4,739.942702293396,2954.971262216568
4,5,742.1331353187561,3697.104397535324
5,6,735.7580778598785,4432.862475395203
6,7,731.6400411128998,5164.502516508102
7,8,733.4119253158569,5897.914441823959
8,9,727.2697553634644,6625.184197187424
9,10,727.2139987945557,7352.398195981979
10,11,729.3754835128784,8081.773679494858
11,12,737.2815554141998,8819.055234909058
12,13,731.605685710907,9550.660920619965
13,14,732.1308174133301,10282.791738033295
14,15,736.6312592029572,11019.422997236252
15,16,729.1870160102844,11748.610013246536
16,17,727.9515624046326,12476.561575651169
17,18,728.8712668418884,13205.432842493057
18,19,747.7866067886353,13953.219449281693
19,20,754.3683950901031,14707.587844371796
20,21,754.1267197132111,15461.714564085007
21,22,762.8787653446198,16224.593329429626
22,23,755.3677489757538,16979.96107840538
23,24,752.3136184215546,17732.274696826935
24,25,754.8387687206268,18487.11346554756
25,26,749.1936075687408,19236.307073116302
26,27,750.6716599464417,19986.978733062744
27,28,754.9261159896851,20741.90484905243
28,29,750.8578014373779,21492.762650489807
29,30,747.8558628559113,22240.61851334572
30,31,749.2522246837616,22989.87073802948
31,32,750.8632445335388,23740.73398256302
32,33,753.2550930976868,24493.989075660706
33,34,747.9862022399902,25241.975277900696
34,35,749.9204561710358,25991.89573407173
35,36,750.3124997615814,26742.208233833313
36,37,751.5894222259521,27493.797656059265
37,38,750.8294887542725,28244.627144813538
38,39,744.2340564727783,28988.861201286316
39,40,726.7739953994751,29715.63519668579
40,41,727.4449355602264,30443.080132246017
41,42,727.8909909725189,31170.971123218536
42,43,729.8533198833466,31900.824443101883
43,44,725.8041138648987,32626.62855696678
44,45,731.7119951248169,33358.3405520916
45,46,733.3693692684174,34091.709921360016
46,47,728.6362798213959,34820.34620118141
47,48,727.0257019996643,35547.371903181076
48,49,726.5562431812286,36273.928146362305
49,50,716.8659107685089,36990.79405713081
50,51,674.0809879302979,37664.87504506111
51,52,673.9272758960724,38338.802320957184
52,53,675.1455366611481,39013.94785761833
53,54,675.944610118866,39689.8924677372
54,55,673.3593058586121,40363.25177359581
55,56,675.5193893909454,41038.771162986755
56,57,674.5886147022247,41713.35977768898
57,58,673.5242645740509,42386.88404226303
58,59,674.3789086341858,43061.26295089722
59,60,674.8925836086273,43736.155534505844
60,61,675.3899087905884,44411.54544329643
61,62,681.3945219516754,45092.93996524811
62,63,674.035373210907,45766.975338459015
63,64,680.5697047710419,46447.54504323006
64,65,674.4158487319946,47121.96089196205
65,66,673.7160987854004,47795.67699074745
66,67,674.3618566989899,48470.03884744644
67,68,675.2700028419495,49145.30885028839
68,69,674.2069537639618,49819.51580405235
69,70,674.5507097244263,50494.06651377678
70,71,678.1115708351135,51172.17808461189
71,72,674.7966547012329,51846.974739313126
72,73,675.2689712047577,52522.24371051788
73,74,675.7340269088745,53197.97773742676
74,75,675.6109433174133,53873.58868074417
75,76,673.9931833744049,54547.581864118576
76,77,674.7510921955109,55222.33295631409
77,78,675.4998619556427,55897.83281826973
78,79,677.6870217323303,56575.51984000206
79,80,674.4029853343964,57249.922825336456
80,81,674.4902102947235,57924.41303563118
81,82,674.643337726593,58599.05637335777
82,83,673.8447871208191,59272.90116047859
83,84,674.9239311218262,59947.82509160042
84,85,682.9475648403168,60630.772656440735
85,86,676.9586560726166,61307.73131251335
86,87,674.4434432983398,61982.17475581169
87,88,675.3065526485443,62657.481308460236
88,89,676.907191991806,63334.38850045204
89,90,675.6490397453308,64010.03754019737
90,91,675.3547656536102,64685.39230585098
91,92,676.7728183269501,65362.16512417793
92,93,677.3129589557648,66039.4780831337
93,94,679.983404636383,66719.46148777008
94,95,675.3946099281311,67394.85609769821
95,96,675.3555195331573,68070.21161723137
96,97,679.5893683433533,68749.80098557472
97,98,675.3838708400726,69425.1848564148
98,99,675.5978121757507,70100.78266859055
99,100,674.7598979473114,70775.54256653786
