,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clear Plastic Bottle,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.10343434343434345,0.09707070707070707,0.09090909090909091,0.05343434343434343,0.03272727272727272,0.012222222222222221,0.0009090909090909091,0.00010101010101010102,0.0
Drink Can,0.13939581400144344,0.13939581400144344,0.13939581400144344,0.13939581400144344,0.13939581400144344,0.13939581400144344,0.13939581400144344,0.13408598824621093,0.13408598824621093,0.13408598824621093,0.12887926590370144,0.12887926590370144,0.12377564697391485,0.10908341066089287,0.07444066398597793,0.046396535725332505,0.014898443138467884,0.0012887926590370142,5.1551706361480566e-05,0.0
Drink Carton,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.03125,0.01020408163265306,0.002551020408163265,0.0006377551020408163,0.0
Glass Bottle,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.04116809116809116,0.04116809116809116,0.036467236467236465,0.036467236467236465,0.036467236467236465,0.032051282051282055,0.027920227920227917,0.017236467236467237,0.014245014245014245,0.005128205128205128,0.001282051282051282,0.0005698005698005698,0.0,0.0
Glass Jar,0.05759162303664921,0.05759162303664921,0.05759162303664921,0.05759162303664921,0.05759162303664921,0.05759162303664921,0.05759162303664921,0.05759162303664921,0.05759162303664921,0.05759162303664921,0.05759162303664921,0.05759162303664921,0.047596382674916705,0.030461684911946695,0.030461684911946695,0.01713469776297001,0.0019038553069966684,0.0,0.0,0.0
Other Plastic Bottle,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.08173690932311621,0.08173690932311621,0.031928480204342274,0.015644955300127713,0.007982120051085569,0.0,0.0
mAP,0.08290098093077,0.08290098093077,0.08290098093077,0.08290098093077,0.08290098093077,0.08290098093077,0.0820700217664775,0.08118505080727208,0.0804015750237963,0.0804015750237963,0.07953378796671139,0.07770351946977623,0.0734379278387413,0.06170731492868769,0.049189157071835125,0.027427531924687106,0.009359268147086472,0.0022168040995295545,0.0001317194849020663,0.0
