,epoch,train_loss,val_loss,bbox_regression_train,classification_train,bbox_regression_val,classification_val
0,1,7.791334864929432,7.498386445144813,2.5412440617007155,5.250090802898844,0.0,0.0
1,2,5.421143315584605,6.868366681039333,1.670575732766217,3.7505675847293767,0.0,0.0
2,3,4.742519796167621,6.641153084735076,1.3530907239053995,3.389429077119318,0.0,0.0
3,4,4.219050616526422,6.54297511279583,1.165546542822689,3.0535040686148722,0.0,0.0
4,5,3.7229885108598317,6.5099830105900764,0.998164376605103,2.7248241431840503,0.0,0.0
5,6,3.2805647191200547,6.472145974636078,0.8825107132973334,2.398054002714521,0.0,0.0
6,7,2.9295376430031,6.483246023456256,0.8078402698452349,2.1216973732445985,0.0,0.0
7,8,2.623999418921143,6.5702124536037445,0.7412199619247486,1.8827794590524134,0.0,0.0
8,9,2.3132707343756698,6.568139949192603,0.654056716636392,1.65921401315518,0.0,0.0
9,10,2.118345733953796,6.667494973788659,0.6301906709225124,1.4881550636455303,0.0,0.0
10,11,1.9637254821207688,6.800635224829118,0.6013503259033647,1.3623751594820095,0.0,0.0
11,12,1.7508078243668752,6.7150137548645334,0.5297584753938531,1.2210493533779647,0.0,0.0
12,13,1.5960583632797685,6.9036538650592165,0.4981911976373833,1.0978671638792707,0.0,0.0
13,14,1.4466918244957925,7.002519415070613,0.4640495405724372,0.982642282710503,0.0,0.0
