,epoch,train_loss,val_loss,loss_classifier_train,loss_box_reg_train,loss_objectness_train,loss_rpn_box_reg_train,loss_classifier_val,loss_box_reg_val,loss_objectness_val,loss_rpn_box_reg_val
0,1,0.1799084796022823,0.283910468177055,0.07572825749330081,0.047637212358482665,0.04207824381221199,0.014464765818666743,0.0012553024862427264,0.0012553024862427264,0.0012553024862427264,0.0012553024862427264
1,2,0.137220452904687,0.2253873063843154,0.0599370710761464,0.04545044989222021,0.020195855906069676,0.011637075941064702,0.000901570325368084,0.000901570325368084,0.000901570325368084,0.000901570325368084
2,3,0.11789147986938026,0.21964565289090388,0.050551273553003026,0.042319276261690804,0.014628337820785703,0.010392592373818496,0.00308968493482098,0.00308968493482098,0.00308968493482098,0.00308968493482098
3,4,0.1043203771656436,0.2177512428133923,0.04341074674666187,0.040187391231080005,0.011406959281907282,0.009315279810598856,0.0006574228391400538,0.0006574228391400538,0.0006574228391400538,0.0006574228391400538
4,5,0.09333082012270527,0.24074878366021343,0.03680884274209757,0.03870495500934811,0.008929138865436512,0.008887883370737426,0.00034565227178973146,0.00034565227178973146,0.00034565227178973146,0.00034565227178973146
5,6,0.08555516100040715,0.2637517505603076,0.032638300785271426,0.036822353273040065,0.0072894415351382694,0.008805065355564686,0.00015009725029813126,0.00015009725029813126,0.00015009725029813126,0.00015009725029813126
6,7,0.07722008749487178,0.2519699312421532,0.028511196390567047,0.03501041605544298,0.005524405085924704,0.008174069795651114,0.0001575481696818315,0.0001575481696818315,0.0001575481696818315,0.0001575481696818315
7,8,0.07024454042583861,0.3198770843174164,0.025170907369265617,0.03355889688139312,0.003976326293662148,0.007538409982770166,1.0570300446488545e-05,1.0570300446488545e-05,1.0570300446488545e-05,1.0570300446488545e-05
8,9,0.06526303076936654,0.28211406218110824,0.022384916246584407,0.0323109166554481,0.003402654139535192,0.00716454376732228,1.566932951391209e-05,1.566932951391209e-05,1.566932951391209e-05,1.566932951391209e-05
9,10,0.05927370975357445,0.32254627769454675,0.01941242010827187,0.030993193901634512,0.0022725609174868685,0.00659553496287478,2.8952774755452992e-05,2.8952774755452992e-05,2.8952774755452992e-05,2.8952774755452992e-05
10,11,0.05645928193287073,0.258866185442533,0.017598171791994636,0.030338134752223907,0.0022678304370370504,0.006255144901347853,0.0001238416116393637,0.0001238416116393637,0.0001238416116393637,0.0001238416116393637
11,12,0.0505223692088092,0.26970314704184756,0.015153510507875684,0.02760984771964958,0.001761736613967403,0.005997274261692955,3.387388915143674e-05,3.387388915143674e-05,3.387388915143674e-05,3.387388915143674e-05
