,epoch,train_loss,val_loss,bbox_regression_train,classification_train,bbox_regression_val,classification_val
0,1,0.018230880711828226,10.18915721412017,2.17812651145124,8.033699183820564,5.241558313369751,5.241558313369751
1,2,0.013092137021273723,10.090954477541915,2.2367833801240566,7.911013076795596,5.195638298988342,5.195638298988342
2,3,0.011807163330839476,9.997036840314063,2.2884279138573977,7.76825931250492,5.139681100845337,5.139681100845337
3,4,0.010875077039073004,9.919058211495944,2.3431128068505047,7.632259605643905,5.094430565834045,5.094430565834045
4,5,0.009994775007879275,9.858041170601533,2.396839968929781,7.514312117456276,5.060125112533569,5.060125112533569
5,6,0.009090558670365434,9.81411899584476,2.4489821125970823,7.413181781211746,5.0370032787323,5.0370032787323
6,7,0.008151235682324063,9.78634812898725,2.496241500723028,7.328846273021163,5.024293899536133,5.024293899536133
7,8,0.00753509691942518,9.763449276719138,2.531039392279687,7.264455880517158,5.014314532279968,5.014314532279968
8,9,0.007371571301765496,9.748640131727557,2.552418557004394,7.218639225603264,5.003579616546631,5.003579616546631
9,10,0.007228770965131469,9.734981363064774,2.565524822083589,7.182079698994895,4.997997522354126,4.997997522354126
10,11,0.006629637202626599,9.701639442800362,2.5767447959596868,7.148331915106729,4.984253406524658,4.984253406524658
11,12,0.005888850249189048,9.680226183383263,2.5859246446150483,7.116537823298267,4.973928689956665,4.973928689956665
12,13,0.0055405448738128716,9.669121550622387,2.5926427281348503,7.088024162243459,4.962226748466492,4.962226748466492
13,14,0.005440385124393713,9.659309088626754,2.59754376517278,7.061918294875421,4.958218097686768,4.958218097686768
14,15,0.0053122834330772825,9.638667815199522,2.6020902985724335,7.036428856515439,4.947715997695923,4.947715997695923
15,16,0.0053193998826606735,9.616308083044034,2.604352988093813,7.011940778415894,4.92851722240448,4.92851722240448
16,17,0.005058689270860507,9.574954830597495,2.6043261356442886,6.98811638132434,4.907636761665344,4.907636761665344
17,18,0.004701155376572719,9.533329232830868,2.6063803077858183,6.963811207597501,4.894430041313171,4.894430041313171
18,19,0.004494908924549644,9.51350155500608,2.6100674034836135,6.939887133714195,4.889469742774963,4.889469742774963
19,20,0.0044591780333066025,9.502123823789793,2.6127973666815,6.91669808035699,4.874734282493591,4.874734282493591
20,21,0.004447592237951216,9.490802381640282,2.6136783227742275,6.8942865651344585,4.86723518371582,4.86723518371582
21,22,0.004462615687728677,9.480395027410204,2.614133162197666,6.871784888695333,4.862865567207336,4.862865567207336
22,23,0.004323243716226838,9.44743588260401,2.6131934275693984,6.8495699055841035,4.848645925521851,4.848645925521851
23,24,0.004087038723062115,9.418867258267982,2.6130778680894977,6.827920001243877,4.830576419830322,4.830576419830322
24,25,0.0038571308394698164,9.397762204999122,2.6133538701823937,6.805932301227178,4.822139382362366,4.822139382362366
25,26,0.00365823351780266,9.380719349763103,2.614754664563687,6.784145405359357,4.808592915534973,4.808592915534973
26,27,0.0036303358771033133,9.360678276168965,2.615923455942457,6.762499479489906,4.795881628990173,4.795881628990173
27,28,0.0036451313826886536,9.353835489148292,2.6175055637537876,6.741032327446982,4.787690997123718,4.787690997123718
28,29,0.0036441187869874917,9.337695767946332,2.617537001583064,6.7201376535068045,4.775033712387085,4.775033712387085
29,30,0.0036258657463438915,9.318027500794313,2.6181701792177754,6.69999458299619,4.763713240623474,4.763713240623474
30,31,0.0035517774984701843,9.293161156021545,2.618505062900971,6.679552131167082,4.750165224075317,4.750165224075317
31,32,0.003440709576548173,9.266934270056609,2.6174888672115646,6.659389479138027,4.746350646018982,4.746350646018982
32,33,0.003323412098308207,9.237273652976919,2.6167879021056346,6.639258978522826,4.736634016036987,4.736634016036987
33,34,0.003299496866921485,9.209052821186102,2.6156995290907745,6.618991983828144,4.718935012817383,4.718935012817383
34,35,0.003253501853807699,9.194961382963948,2.614854565012121,6.599283689093367,4.7019559144973755,4.7019559144973755
35,36,0.0031365582650901627,9.18587632936852,2.6147693632362046,6.580204916891651,4.696807503700256,4.696807503700256
36,37,0.003008017401052117,9.159633279960847,2.61576150872997,6.560615685498603,4.686554908752441,4.686554908752441
37,38,0.0029638478324082724,9.130268435611903,2.6147422244615646,6.540773841265206,4.679654479026794,4.679654479026794
38,39,0.0029721070561344763,9.10209306823873,2.6141524582265694,6.521051071514593,4.665953516960144,4.665953516960144
39,40,0.0029740961364831636,9.090720092024759,2.613983328375861,6.501733069107911,4.652152061462402,4.652152061462402
40,41,0.002936378869915677,9.076772707645024,2.613660829646565,6.482868490932144,4.648613452911377,4.648613452911377
41,42,0.0029156971045565206,9.05231748563107,2.613890586055328,6.464458283976974,4.636687159538269,4.636687159538269
42,43,0.002887880584528609,9.03753220923593,2.6107229506858043,6.446417367346933,4.618908524513245,4.618908524513245
43,44,0.002854236957854287,9.018934165205911,2.6085446125993106,6.427993216247202,4.6097928285598755,4.6097928285598755
44,45,0.002788149727514954,8.997986392440083,2.607505889975022,6.410027042170551,4.604345679283142,4.604345679283142
45,46,0.002731496720600908,8.979475876995336,2.6066161572376143,6.392293150736907,4.5988078117370605,4.5988078117370605
46,47,0.0026621595033222514,8.967594752801913,2.60617491268666,6.374006864623489,4.591094732284546,4.591094732284546
47,48,0.0025674453946037184,8.960173343943659,2.6058358761751763,6.355998898220953,4.584801077842712,4.584801077842712
48,49,0.002520326793027354,8.938680087294534,2.604990277613435,6.337961732227112,4.5718241930007935,4.5718241930007935
49,50,0.00249578076916329,8.922505663934155,2.60515052191565,6.319800256011642,4.564427137374878,4.564427137374878
