,epoch,train_loss,val_loss,bbox_regression_train,classification_train,bbox_regression_val,classification_val
0,1,3.3061605311532056,3.136250170568625,0.8315141892416104,2.4746463491716457,0.0,0.0
1,2,2.1514570886852176,2.8118889996161065,0.5404854679522851,1.610971619427659,0.0,0.0
2,3,1.7903650401202778,2.6830301210284233,0.4557781617320676,1.3345868762667852,0.0,0.0
3,4,1.543053483075768,2.597406662379702,0.3895307358524954,1.1535227503940348,0.0,0.0
4,5,1.3505806240871663,2.6368325166404247,0.3382178891990476,1.0123627341885604,0.0,0.0
5,6,1.2202464030444167,2.6894909913341203,0.3220480844947218,0.898198317696575,0.0,0.0
6,7,1.1047943998952858,2.7249035413066545,0.2905626933979055,0.8142317054949644,0.0,0.0
7,8,0.9975390882892463,2.72472622183462,0.27904850608519927,0.7184905793034393,0.0,0.0
8,9,0.8716138462585802,2.7178247834866247,0.24338856970265735,0.6282252776656897,0.0,0.0
9,10,0.7659570560058337,2.8409310777982077,0.2236995258716909,0.5422575278193441,0.0,0.0
10,11,0.6914074459831223,2.776344370096922,0.21793169747497745,0.4734757494707485,0.0,0.0
11,12,0.6100662274954428,2.939873846868674,0.21639258635820438,0.3936736394103815,0.0,0.0
