,epoch,train_loss,val_loss,classification_train,bbox_regression_train,classification_val,bbox_regression_val
0,1,0.16260638618744014,0.44572260196097585,0.36632139131618763,0.17678317160893034,0.004408646374940872,0.004408646374940872
1,2,0.1223391705914667,0.43026635189016815,0.28881994505965625,0.14918991251215907,0.0022722971625626087,0.0022722971625626087
2,3,0.11048723549985519,0.4347878837046058,0.25882139420047945,0.14081172692866725,0.015275277197360992,0.015275277197360992
3,4,0.09407541548552432,0.4122399367345982,0.21681371688183382,0.12691160918760847,0.003398377448320389,0.003398377448320389
4,5,0.0841755585237104,0.3820384109136891,0.19386193819658631,0.11766182701494403,0.0012804141733795404,0.0012804141733795404
5,6,0.0823197988140084,0.3881426504200742,0.19023611260585147,0.11396913270089234,0.0010403105989098549,0.0010403105989098549
6,7,0.07243349039349492,0.3611725247743986,0.1638358306328105,0.1068358323423064,0.0005113378283567727,0.0005113378283567727
7,8,0.06857461361729945,0.37940375510182395,0.15734316916329402,0.10063038373095844,0.0003886384074576199,0.0003886384074576199
8,9,0.06682184156837326,0.39282346047184546,0.14721975506635254,0.10047159791134923,0.00038557578227482736,0.00038557578227482736
9,10,0.059924472598110165,0.402897534695209,0.1298199984119256,0.09238535042724196,0.00043527825619094074,0.00043527825619094074
10,11,0.05046462826906234,0.3850630030794188,0.10368553129258523,0.08601407713562477,0.00017674159607850015,0.00017674159607850015
11,12,0.05587347988224764,0.4921769071828142,0.1178978036188668,0.09092907076274961,0.000482383300550282,0.000482383300550282
12,13,0.04624281771142677,0.3829712158702326,0.09088070963705776,0.08235027235968195,0.00020511157345026731,0.00020511157345026731
13,14,0.04499607674426707,0.3857339255255283,0.08700706275259518,0.08175443075739473,0.00014688741066493094,0.00014688741066493094
14,15,0.04153693152608471,0.3690695159477097,0.07640552497241168,0.07876678303893628,9.544850036036223e-05,9.544850036036223e-05
