,epoch,train_loss,val_loss,classification_train,bbox_regression_train,classification_val,bbox_regression_val
0,1,0.3470539682650868,0.27693276728192967,0.2417478310062161,0.19053824425120897,0.13541868701577187,0.13541868701577187
1,2,0.18401673511613773,0.23058715338508287,0.09825573142476474,0.1372678981551641,0.2299540787935257,0.2299540787935257
2,3,0.14558185099423687,0.22229288518428802,0.06674207375632434,0.1191029430756086,0.12955082207918167,0.12955082207918167
3,4,0.11333948444527915,0.21262689058979353,0.033718709256264225,0.11167354344189921,0.13606282323598862,0.13606282323598862
4,5,0.10488810145025011,0.2520493802924951,0.026917132890865773,0.1076291081837461,0.3365044444799423,0.3365044444799423
5,6,0.12445869259064711,0.3073442317545414,0.05439587374795464,0.10510256245166441,0.36188677698373795,0.36188677698373795
6,7,0.1079068124954459,0.255758340160052,0.03957521060741023,0.09821399914312966,0.32753342390060425,0.32753342390060425
7,8,0.127854366562789,0.3173392650981744,0.051991700377503905,0.11212809327282483,0.2990967482328415,0.2990967482328415
8,9,0.09859321068359327,0.20911832402149835,0.03249819154697883,0.09275429889182502,0.1216023676097393,0.1216023676097393
9,10,0.07893918011384675,0.2250358642389377,0.010640988640687606,0.09056634658688231,0.1319815181195736,0.1319815181195736
10,11,0.07476551128150541,0.27751554921269417,0.006004294019510757,0.09001444982765597,0.3404359370470047,0.3404359370470047
11,12,0.07268319519448883,0.22225401426355043,0.0074131517903879285,0.0856743585082549,0.07750801742076874,0.07750801742076874
12,13,0.07685247021196764,0.24511864657203355,0.005517044993223552,0.09345374713781514,0.06927455589175224,0.06927455589175224
13,14,0.08480527676359008,0.24964242614805698,0.011968702340168478,0.09700106805827044,0.14586366713047028,0.14586366713047028
14,15,0.08780705084717727,0.22832209741075835,0.020130124666633768,0.09313163661126848,0.09315508976578712,0.09315508976578712
15,16,0.09449245030932789,0.331317209949096,0.02958857818046891,0.09204156489311895,0.3665984719991684,0.3665984719991684
16,17,0.09250171345811856,0.31686384603381157,0.02016429512914789,0.09899075824437262,0.35370486974716187,0.35370486974716187
