,epoch,time_elapsed,total_time_elapsed
0,1,519.6493651866913,519.6493651866913
1,2,516.4126627445221,1036.0620279312134
2,3,513.0038626194,1549.0658905506134
3,4,514.8123581409454,2063.878248691559
4,5,513.9869298934937,2577.8651785850525
5,6,514.7275633811951,3092.5927419662476
6,7,513.4928874969482,3606.085629463196
7,8,515.4875857830048,4121.573215246201
8,9,514.6455883979797,4636.21880364418
9,10,515.2575116157532,5151.4763152599335
10,11,513.3454787731171,5664.8217940330505
11,12,513.6821348667145,6178.503928899765
12,13,515.7741756439209,6694.278104543686
13,14,513.2795958518982,7207.557700395584
14,15,514.0033786296844,7721.561079025269
15,16,514.8973405361176,8236.458419561386
16,17,514.2550659179688,8750.713485479355
17,18,512.5610165596008,9263.274502038956
18,19,514.4813578128815,9777.755859851837
19,20,507.5252687931061,10285.281128644943
