,epoch,train_loss,val_loss,bbox_regression_train,classification_train,bbox_regression_val,classification_val
0,1,5.078711174080305,4.0521227912368065,1.34890057115215,3.729810597462075,2.418319523334503,2.418319523334503
1,2,3.5537940543667177,3.4798008170083303,0.9931037466729356,2.5606903028543866,2.106924533843994,2.106924533843994
2,3,3.0237780490489765,3.413234951897202,0.8223489527982251,2.2014290960592646,2.238578736782074,2.238578736782074
3,4,2.6524881111962775,3.242704925693084,0.693346914025807,1.9591411959345095,2.2401346564292908,2.2401346564292908
4,5,2.340283082885163,3.2410084543941178,0.595281824695869,1.7450012583459649,2.3111178874969482,2.3111178874969482
5,6,2.0996649108618217,3.4908399203113305,0.5231694337676898,1.5764954785738037,2.5077728033065796,2.5077728033065796
6,7,1.8743936211984848,3.4741743296106287,0.4643762162494882,1.41001740508826,2.4745976328849792,2.4745976328849792
7,8,1.6687454723309134,3.487529213183394,0.4157251083666337,1.2530203614836541,2.573244571685791,2.573244571685791
8,9,1.5019215265306356,3.704918192925854,0.37797156947656213,1.1239499548258625,2.6117045879364014,2.6117045879364014
9,10,1.3256779071465832,3.9708111208175945,0.33985296311292135,0.9858249435288327,3.001179575920105,3.001179575920105
