,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,Clear Plastic Bottle,8.205669387698952,8.194399540115624,8.203621237761956,7.705062915651719,7.688263742983203,6.668596855630085,6.916913853873532,7.451352971214939,5.385985963324296,3.838661427446769
2,Drink Can,3.3403223909825814,3.201452544028171,3.187840707319568,3.153283883521105,3.176025798942506,3.101583413145356,3.1534248725342473,2.929755420719229,2.4734780715849043,1.3009846158118241
3,Drink Carton,3.271906960461066,3.31234619261578,3.2770609430539035,3.273122567189767,3.294181047140661,3.404809091795548,2.6951011996245153,2.819535363621187,2.247079327630418,
4,Glass Bottle,9.61299291161414,9.20494301369904,7.606726503871715,9.384664872657025,6.815636905782609,7.760121712015546,10.932986347631084,15.67340187309016,5.105231945059388,
5,Glass Jar,,,,,,,,,,
6,Other Plastic Bottle,6.817622808225328,6.6671333052334525,6.746558683499796,6.557413951779834,6.336949626897294,5.50609306791707,5.341798291737654,4.498752335344499,3.470079620541117,
