,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,Clear Plastic Bottle,31.98371124267578,31.615936279296875,31.615936279296875,29.384716033935547,30.392133712768555,29.114919662475586,23.968992233276367,22.249975204467773,13.707651138305664,11.46425724029541
2,Drink Can,13.529273986816406,13.529273986816406,12.314505577087402,12.23554515838623,12.42887020111084,12.687860488891602,12.611355781555176,11.393174171447754,7.294904708862305,14.875222206115723
3,Drink Carton,26.626792907714844,33.67533493041992,33.67533493041992,32.201690673828125,32.201690673828125,32.201690673828125,31.96244239807129,26.244970321655273,29.40130615234375,
4,Glass Bottle,73.15097045898438,54.54850387573242,50.267642974853516,29.63409996032715,22.530868530273438,17.711841583251953,25.71671485900879,16.726688385009766,16.406415939331055,
5,Glass Jar,30.104461669921875,29.695331573486328,30.1544246673584,31.242950439453125,29.343496322631836,27.759796142578125,21.50806999206543,15.371036529541016,19.28235626220703,
6,Other Plastic Bottle,35.664512634277344,35.664512634277344,35.664512634277344,32.60622024536133,31.23253631591797,29.81103515625,29.66624641418457,24.202505111694336,20.974407196044922,
