,epoch,time_elapsed,total_time_elapsed
0,1,61.83947205543518,61.83947205543518
1,2,62.406898975372314,124.2463710308075
2,3,71.76766872406006,196.01403975486755
3,4,70.79766941070557,266.8117091655731
4,5,66.85890293121338,333.6706120967865
5,6,68.47913718223572,402.1497492790222
6,7,71.8300347328186,473.9797840118408
7,8,68.04001593589783,542.0197999477386
8,9,69.98934650421143,612.0091464519501
9,10,70.10401701927185,682.1131634712219
10,11,85.69011783599854,767.8032813072205
11,12,84.55831742286682,852.3615987300873
12,13,86.28307032585144,938.6446690559387
13,14,86.37973022460938,1025.024399280548
14,15,85.5546452999115,1110.5790445804596
15,16,87.07911729812622,1197.6581618785858
16,17,70.52233362197876,1268.1804955005646
17,18,69.40283465385437,1337.583330154419
18,19,71.11745929718018,1408.7007894515991
19,20,55.458383083343506,1464.1591725349426
20,21,52.47194957733154,1516.6311221122742
21,22,68.2191960811615,1584.8503181934357
22,23,65.62691855430603,1650.4772367477417
23,24,71.47756123542786,1721.9547979831696
24,25,60.26911211013794,1782.2239100933075
25,26,69.93935060501099,1852.1632606983185
26,27,58.286872148513794,1910.4501328468323
27,28,69.9404296875,1980.3905625343323
28,29,67.68108487129211,2048.0716474056244
29,30,67.72717690467834,2115.7988243103027
30,31,67.73199582099915,2183.530820131302
31,32,61.7831814289093,2245.314001560211
32,33,72.1054937839508,2317.419495344162
33,34,68.12534880638123,2385.544844150543
34,35,53.93863129615784,2439.483475446701
