,epoch,time_elapsed,total_time_elapsed
0,1,515.6186940670013,515.6186940670013
1,2,515.9611847400665,1031.5798788070679
2,3,520.9716272354126,1552.5515060424805
3,4,519.5098984241486,2072.061404466629
4,5,519.5329105854034,2591.5943150520325
5,6,468.72579169273376,3060.3201067447662
6,7,493.56573486328125,3553.8858416080475
7,8,498.39032793045044,4052.276169538498
8,9,459.312207698822,4511.58837723732
9,10,445.37538862228394,4956.963765859604
10,11,503.2391495704651,5460.202915430069
11,12,476.1533124446869,5936.356227874756
12,13,475.67750811576843,6412.033735990524
13,14,460.20430874824524,6872.2380447387695
14,15,441.92854619026184,7314.166590929031
15,16,451.7354037761688,7765.9019947052
16,17,362.4789447784424,8128.380939483643
17,18,393.1571054458618,8521.538044929504
18,19,468.4218215942383,8989.959866523743
19,20,383.2836322784424,9373.243498802185
20,21,391.035605430603,9764.279104232788
21,22,429.7862317562103,10194.065335988998
