,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Clear Plastic Bottle,0.02432248091287776,0.0030208984812904903,0.00205609902882834,0.0013763968705379796,0.0008727564518603307,0.00048334375700647845,0.00024969614009416705,0.00012083593925161961,0.00010620346223286879,6.797021582903603e-05,3.823324640383277e-05,2.3128753997380316e-05,4.248138489314752e-06,1.8880615508065565e-06,1.8880615508065565e-06,4.720153877016391e-07,0.0,0.0,0.0,0.0,6.9858277379842584e-06
Drink Can,0.030107021051393627,0.0014783309342448897,0.0007085491459990301,0.0002488183557966416,9.71946702330631e-05,3.499008128390271e-05,1.55511472372901e-05,3.887786809322525e-06,3.887786809322525e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drink Carton,0.0026881720430107525,0.0026881720430107525,0.0026881720430107525,0.0026881720430107525,0.0026881720430107525,0.0026881720430107525,0.0026881720430107525,0.0026881720430107525,0.0026881720430107525,0.0026881720430107525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glass Bottle,0.0034942711209276643,0.0006012638812197067,0.0003067672863365851,0.0002087934842628382,0.0001296091784772072,7.669182158414627e-05,5.540984109454567e-05,4.3139149641082276e-05,1.9172955396036568e-05,3.0676728633658507e-06,1.7255659856432908e-06,1.7255659856432908e-06,7.669182158414627e-07,1.9172955396036567e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.4097797410884096e-07
Glass Jar,0.0002943274392761948,8.44689717310508e-05,4.964898449525097e-05,4.138979614821489e-05,3.388144310545482e-05,3.040882982317829e-05,1.586139580283065e-05,1.1356383977174607e-05,1.1356383977174607e-05,7.602207455794572e-06,7.602207455794572e-06,1.5016706085520142e-06,9.385441303450089e-08,9.385441303450089e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.291586890415587e-07
Other Plastic Bottle,0.0057540026965665755,0.0008738642719861326,0.0004977510983189079,0.0004731746378394118,0.0003387818412933067,0.00029896175342779404,0.0002102998390397386,0.00010079459740957884,6.999624820109642e-05,3.764242681036741e-05,1.1199399712175426e-05,4.977510983189079e-06,1.2443777457972697e-06,3.1109443644931743e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.7732382877611092e-06
mAP,0.011110045877342095,0.0014578330972471708,0.001051164597831478,0.0008394575312659731,0.0006933992713300191,0.0006020947143560422,0.0005391650677132208,0.0004946976500165883,0.00048313147993787523,0.00046740909432821945,9.793403259574343e-06,5.2222502624607835e-06,1.0588814773313309e-06,4.141233257084567e-07,3.1467692513442606e-07,7.866923128360651e-08,0.0,0.0,0.0,0.0,1.6882004481492948e-06
