,epoch,train_loss,val_loss,bbox_regression_train,classification_train,bbox_regression_val,classification_val
0,1,4.503036568237242,3.2898984445589723,0.5815402249170241,3.9214963463143766,1.7264586687088013,1.7264586687088013
1,2,2.8979946639493246,2.806896488521701,0.3688760667192863,2.5291186026602146,1.1583873927593231,1.1583873927593231
2,3,2.2843667098155644,2.5858341697777543,0.28559130765786,1.998775401405085,1.024172991514206,1.024172991514206
3,4,1.8102998319212522,2.3852621830790954,0.23665506309268247,1.5736447676111047,0.6850938498973846,0.6850938498973846
4,5,1.4483407433449387,2.361560139839894,0.19957477198674334,1.2487659702756415,0.7290142923593521,0.7290142923593521
5,6,1.1908475632526885,2.242280254018641,0.18839118326850948,1.002456382212934,0.8840000629425049,0.8840000629425049
6,7,1.0137753894326287,2.237711758396336,0.17230766778947812,0.8414677214530236,0.8516319543123245,0.8516319543123245
7,8,0.841675225410297,2.3533202374928464,0.15152899068470166,0.690146234626316,0.7309406101703644,0.7309406101703644
8,9,0.7301700169951698,2.2142883886661484,0.14151255349018263,0.588657464409926,0.5464029759168625,0.5464029759168625
9,10,0.637107201412355,2.2745198406209455,0.12695193520821108,0.5101552659462893,0.6272469460964203,0.6272469460964203
10,11,0.5123297729938526,2.3971252652389983,0.11478509754051289,0.3975446752890527,0.6441715359687805,0.6441715359687805
11,12,0.4596803732233766,2.478978693137102,0.11212548001021447,0.3475548926344855,0.5601464435458183,0.5601464435458183
12,13,0.45333032648157434,2.7591410711686186,0.11117212878019009,0.34215819811726983,0.9280761331319809,0.9280761331319809
13,14,0.46845461775017816,2.584946831496798,0.1106033591343042,0.35785125922215844,0.7144097983837128,0.7144097983837128
