,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Litter,0.00833431847736139,0.00833431847736139,0.00833431847736139,0.00833431847736139,0.00833431847736139,0.00833431847736139,0.00833431847736139,0.00833431847736139,0.008216520404219267,0.008099560751526553,0.007868156707489358,0.007527338794804141,0.007415409664807889,0.0071940666661636146,0.00603662723575293,0.00544805608026702,0.0034714798707826404,0.0014102231959078374,0.0002620063904406654,6.707363595281034e-06,0.004664007197001138
mAP,0.00833431847736139,0.00833431847736139,0.00833431847736139,0.00833431847736139,0.00833431847736139,0.00833431847736139,0.00833431847736139,0.00833431847736139,0.008216520404219267,0.008099560751526553,0.007868156707489358,0.007527338794804141,0.007415409664807889,0.0071940666661636146,0.00603662723575293,0.00544805608026702,0.0034714798707826404,0.0014102231959078374,0.0002620063904406654,6.707363595281034e-06,0.004664007197001138
