,epoch,train_loss,val_loss,bbox_regression_train,classification_train,bbox_regression_val,classification_val
0,1,1.038881138155732,2.6379640897115073,0.8621098582125917,3.0599485077435458,1.2110359072685242,1.2110359072685242
1,2,0.6041970049278645,2.2645431756973267,0.38820714371491083,1.9422972971879984,1.0124704986810684,1.0124704986810684
2,3,0.47858823213396195,2.1571573515733085,0.2964779380001599,1.5514969855924197,0.9469420313835144,0.9469420313835144
3,4,0.4171125424813621,2.258228878180186,0.2823637514551984,1.3264615422562709,1.122303232550621,1.122303232550621
4,5,0.3789934191522719,2.1407149831453958,0.2681806203496607,1.192831320853173,1.0358943343162537,1.0358943343162537
5,6,0.3181470087434672,2.1897867619991302,0.2564974614902388,0.969151730024362,1.0542234480381012,1.0542234480381012
6,7,0.2716372512941119,2.0480369925498962,0.2183757970416093,0.8247297847572761,0.8726384490728378,0.8726384490728378
7,8,0.2523714866064772,2.0337838729222617,0.21463231233101857,0.7485673503030704,1.1130842715501785,1.1130842715501785
8,9,0.23963661076901835,2.084459419051806,0.22851425267850298,0.6877888339229777,1.2081990540027618,1.2081990540027618
9,10,0.20103485354139836,2.0938235223293304,0.19314542978624755,0.5766567523720898,0.8104103207588196,0.8104103207588196
10,11,0.17538641374322433,1.9582527875900269,0.20618866035078146,0.46182354171819323,0.7915307432413101,0.7915307432413101
11,12,0.14554811495391629,2.087349623441696,0.1663165451793731,0.3877910482166689,0.8201252818107605,0.8201252818107605
12,13,0.1354886101959627,2.1814087529977164,0.1847102877837193,0.3306686627336695,0.7390612214803696,0.7390612214803696
13,14,0.13103424116403242,2.235710163911184,0.18999839932480944,0.30540079972412015,1.049395352602005,1.049395352602005
14,15,0.12143075362413744,2.3274292250474296,0.1814018445490282,0.27400368131414243,1.001078575849533,1.001078575849533
15,16,0.11477191623630403,2.2649953812360764,0.17485915577109856,0.25239973864223386,0.9225854575634003,0.9225854575634003
16,17,0.11113431993164594,2.260473986466726,0.16869660759273963,0.25033218828560433,0.9256131947040558,0.9256131947040558
17,18,0.10437589374524128,2.1654804100592933,0.1614595325310019,0.22990919998552226,0.8214663565158844,0.8214663565158844
18,19,0.08082685902526107,2.267822494109472,0.13012638211816172,0.17106056996161426,0.7370587736368179,0.7370587736368179
