,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,Clear Plastic Bottle,8.869727112465844,8.844748603447199,8.842322631722428,8.521382948328332,8.49397360181986,7.303959922083587,7.023732076813738,6.460461246377298,7.038728971189725,3.7360903137926385
2,Drink Can,4.182565555858933,3.918660076394649,4.037718562727555,4.083623153059756,4.150880164512915,4.044765221950093,3.732788957792593,3.4735017974679296,3.3005245894428272,1.4523366191588003
3,Drink Carton,5.854607084705649,3.7830612850762524,3.8766751378282818,4.088213113712548,4.060973005759176,4.238183225618723,4.654427208684346,3.6574652165692894,3.9551182367699598,3.604817235747753
4,Glass Bottle,7.936992331109746,7.773726959762603,6.517491650233668,6.489219547726919,5.755317533913192,4.466073929659538,4.722927274424243,4.073783155039467,4.9204282984153584,1.7671814180696261
5,Glass Jar,3.4240536563233817,3.4240536563233817,3.4240536563233817,3.4240536563233817,3.4240536563233817,3.4240536563233817,2.206274295225996,2.206274295225996,2.206274295225996,2.206274295225996
6,Other Plastic Bottle,4.722574931023511,4.722574931023511,4.5967599995146,4.479267714351822,4.529916005329128,4.493443064672325,3.947406299995654,4.069222836607585,4.2209535906996685,4.688494122770208
