,epoch,train_loss,val_loss,bbox_regression_train,classification_train,bbox_regression_val,classification_val
0,1,5.592049536450219,4.660725171367328,0.8419543002966706,4.750095228748467,0.0,0.0
1,2,3.6791744769074533,4.340383961796761,0.5218289649696978,3.1573455124410965,0.0,0.0
2,3,3.126299890125071,4.099748335778713,0.47094474195979025,2.655355143365059,0.0,0.0
3,4,2.65718841452635,4.031881990532081,0.4220466210983182,2.2351417927341606,0.0,0.0
4,5,2.2144133255226923,3.9091841926177344,0.3572439729399581,1.857169352210205,0.0,0.0
5,6,1.866283167728031,3.8978517993042865,0.3122065749140243,1.5540765907700735,0.0,0.0
6,7,1.6218313855296782,3.906585091724992,0.30340103684348685,1.3184303478430246,0.0,0.0
7,8,1.4276418888841877,4.146395834783713,0.2957123426891124,1.1319295473453652,0.0,0.0
8,9,1.2516951026238559,4.180280413478613,0.2811940606114746,0.9705010406388581,0.0,0.0
9,10,1.0924762393909557,4.3451297500481205,0.2522541121231349,0.840222126859745,0.0,0.0
10,11,1.0141538259523515,4.244621357570092,0.23273520528530803,0.7814186190034597,0.0,0.0
11,12,0.8436697301291327,4.005733336011569,0.2118140247572242,0.6318557042344153,0.0,0.0
12,13,0.7182321378065429,4.034677188222607,0.19737823533733154,0.520853901887668,0.0,0.0
13,14,0.6329015537812055,4.100330695509911,0.19600741406547204,0.43689413874317673,0.0,0.0
