,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Object,0.022449681468663243,0.022244729466157027,0.022011649429241997,0.02169316872870253,0.021342659087079816,0.020813769564539206,0.02023575447305947,0.019523313270625186,0.018475927692496202,0.017215009574886486,0.015815854203848963,0.01393907003965345,0.01181607609788542,0.009636280597154122,0.007399663589859294,0.005484040680737023,0.00369122824149329,0.002073639359033581,0.0007095207970342952,4.330777460098604e-05,0.007060868138130043
mAP,0.022449681468663243,0.022244729466157027,0.022011649429241997,0.02169316872870253,0.021342659087079816,0.020813769564539206,0.02023575447305947,0.019523313270625186,0.018475927692496202,0.017215009574886486,0.015815854203848963,0.01393907003965345,0.01181607609788542,0.009636280597154122,0.007399663589859294,0.005484040680737023,0.00369122824149329,0.002073639359033581,0.0007095207970342952,4.330777460098604e-05,0.007060868138130043
