,epoch,time_elapsed,total_time_elapsed
0,1,460.09308314323425,460.09308314323425
1,2,466.2588093280792,926.3518924713135
2,3,468.1486301422119,1394.5005226135254
3,4,469.08724665641785,1863.5877692699432
4,5,471.5101811885834,2335.0979504585266
5,6,469.82358503341675,2804.9215354919434
6,7,467.8845212459564,3272.8060567379
7,8,468.9045343399048,3741.7105910778046
8,9,466.84143900871277,4208.552030086517
9,10,469.28486466407776,4677.836894750595
10,11,467.05820083618164,5144.895095586777
11,12,464.892361164093,5609.78745675087
