,epoch,time_elapsed,total_time_elapsed
0,1,537.0717160701752,537.0717160701752
1,2,491.2167317867279,1028.288447856903
2,3,468.87491059303284,1497.163358449936
3,4,520.1332631111145,2017.2966215610504
4,5,472.56335639953613,2489.8599779605865
5,6,588.8926811218262,3078.7526590824127
6,7,479.28751730918884,3558.0401763916016
7,8,601.0890171527863,4159.129193544388
8,9,577.3556110858917,4736.4848046302795
9,10,621.565714597702,5358.050519227982
10,11,607.3870148658752,5965.437534093857
11,12,547.5411417484283,6512.978675842285
12,13,459.71548986434937,6972.6941657066345
13,14,414.3060314655304,7387.000197172165
14,15,409.422593832016,7796.422791004181
15,16,409.9240312576294,8206.34682226181
16,17,408.32627415657043,8614.67309641838
17,18,409.48218154907227,9024.155277967453
18,19,409.100656747818,9433.255934715271
19,20,408.47488021850586,9841.730814933777
20,21,409.105277299881,10250.836092233658
21,22,410.16066002845764,10660.996752262115
22,23,409.309805393219,11070.306557655334
23,24,408.3319914340973,11478.638549089432
24,25,409.27721881866455,11887.915767908096
25,26,543.5442943572998,12431.460062265396
26,27,538.6714012622833,12970.13146352768
27,28,538.643815279007,13508.775278806686
28,29,543.5452764034271,14052.320555210114
29,30,539.2339308261871,14591.5544860363
30,31,540.7499933242798,15132.30447936058
31,32,540.1675503253937,15672.472029685974
